view,mean_ari_vs_all,mean_nmi_vs_all,mean_core_best_jaccard,mean_core_best_recall,spearman_vs_all,mean_knn_jaccard_vs_all
ALL,1.0,1.0,0.52118126,0.94340136,1.0,1.0
minus_RNA,0.30841311,0.38229561,0.30470827,0.64393733,0.79273894,0.49072777
minus_WSI,0.33685658,0.415108,0.33440337,0.79130076,0.81538341,0.39299858
minus_CT,0.28837772,0.35948456,0.30151678,0.70711194,0.83016388,0.5414858
minus_GENOMIC,0.67936442,0.71122226,0.40664563,0.84621315,0.97006111,0.83540408
RNA_only,0.2411662,0.32442891,0.29680728,0.71555143,0.50256601,0.2605144
WSI_only,0.06537738,0.16990343,0.21775018,0.62422181,0.43997992,0.34952759
CT_only,0.08693406,0.17783977,0.14875949,0.59680066,0.34473402,0.19949059
GENOMIC_only,0.02204541,0.09527627,0.17887702,0.50556999,0.24085366,0.1163424
