target_id,modality,feature_n,significant_feature_n,top_feature,top_effect_size,top_q_value
5V_CORE01,cnv,156,11,chr12p,-0.66968326,0.00189679
5V_CORE01,ct,1130,0,wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,1.22605897,0.06442501
5V_CORE01,rna,50,8,HALLMARK_HEME_METABOLISM,1.03524553,0.003119
5V_CORE01,wsi,768,314,embedding_0205,1.74939289,0.00040704
5V_CORE01,wxs,22,0,PBRM1,0.30090497737556565,0.51087058
5V_CORE02,cnv,156,7,locus::VHL,0.65194805,0.00307789
5V_CORE02,ct,1130,0,wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,1.07115517,0.1218638
5V_CORE02,rna,50,0,HALLMARK_SPERMATOGENESIS,1.27740648,0.3884715
5V_CORE02,wsi,768,0,embedding_0558,-1.07166212,0.74893513
5V_CORE02,wxs,22,2,VHL,-0.6,0.0006567
5V_CORE03,cnv,156,0,chr14q,-0.52987013,0.11731188
5V_CORE03,ct,1130,0,wavelet-HLL_glszm_ZoneEntropy,0.85600903,0.6734455
5V_CORE03,rna,50,7,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.34769077,0.003442
5V_CORE03,wsi,768,0,embedding_0595,-1.05426593,0.39587712
5V_CORE03,wxs,22,2,BAP1,0.6779220779220779,3.74e-06
5V_CORE04,cnv,156,14,chr16p,0.7559322,0.00730247
5V_CORE04,ct,1130,0,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.84588448,1.0
5V_CORE04,rna,50,1,HALLMARK_PANCREAS_BETA_CELLS,1.2612831,0.026139
5V_CORE04,wsi,768,0,embedding_0638,-1.37270243,0.13407546
5V_CORE04,wxs,22,3,PBRM1,0.6779661016949152,0.00129602
5V_CORE05,cnv,156,0,locus::PTEN,-0.55185185,0.24586044
5V_CORE05,ct,1130,0,original_glszm_GrayLevelNonUniformity,1.61444508,0.12835852
5V_CORE05,rna,50,0,HALLMARK_MYOGENESIS,0.78540617,0.35885012
5V_CORE05,wsi,768,0,embedding_0527,1.2013792,0.39892887
5V_CORE05,wxs,22,2,PTEN,0.42777777777777776,0.0150458
5V_CORE06,cnv,156,0,gain_burden,0.4875,0.66816227
5V_CORE06,ct,1130,0,wavelet-HHH_glcm_ClusterTendency,1.82979116,1.0
5V_CORE06,rna,50,0,HALLMARK_HEDGEHOG_SIGNALING,0.81617012,0.99726773
5V_CORE06,wsi,768,0,embedding_0402,1.02640605,1.0
5V_CORE06,wxs,22,1,ATM,0.56875,0.04009258
ROBUST_4V_CORE01_5V_CORE01,cnv,156,9,chr12p,-0.64415584,0.01086232
ROBUST_4V_CORE01_5V_CORE01,ct,1130,0,log-sigma-1-0-mm-3D_firstorder_Mean,-1.05539467,0.18820666
ROBUST_4V_CORE01_5V_CORE01,rna,50,6,HALLMARK_ANDROGEN_RESPONSE,1.03435001,0.01125588
ROBUST_4V_CORE01_5V_CORE01,wsi,768,260,embedding_0205,1.82461468,0.00214016
ROBUST_4V_CORE01_5V_CORE01,wxs,22,0,PBRM1,0.27922077922077926,0.78620601
5V_CORE01,clinical,20,2,t_stage:T1A,0.5328054298642535,0.0018272
5V_CORE02,clinical,20,0,grade:G2,0.19090909090909092,0.66081278
5V_CORE03,clinical,20,0,stage_group:I,-0.3857142857142857,0.3063042
5V_CORE04,clinical,20,0,stage_group:III,0.23050847457627122,1.0
5V_CORE05,clinical,20,0,grade:G4,0.38888888888888895,0.3823424
5V_CORE06,clinical,20,0,t_stage:T1B,0.396875,0.68552573
ROBUST_4V_CORE01_5V_CORE01,clinical,20,2,t_stage:T1A,0.5142857142857142,0.0065655
