core_id,field,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,q_value,set_mean,rest_mean,cliffs_delta,direction,cramers_v,epsilon_squared,available_n,missing_n
5V_CORE06,ct_phase,NEPH,0,5,4,78,0.0,0.051282,-0.051282,0.0,1.0,,,,,,,,
5V_CORE06,ct_phase,UNKNOWN,2,5,28,78,0.4,0.358974,0.041026,1.190476,1.0,,,,,,,,
5V_CORE06,ct_manufacturer,GE,3,5,57,78,0.6,0.730769,-0.130769,0.552632,1.0,,,,,,,,
5V_CORE06,ct_manufacturer,SIEMENS,2,5,21,78,0.4,0.269231,0.130769,1.809524,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,Definition,0,5,1,78,0.0,0.012821,-0.012821,0.0,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,Definition AS+,1,5,2,78,0.2,0.025641,0.174359,9.5,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,LightSpeed Plus,0,5,2,78,0.0,0.025641,-0.025641,0.0,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,LightSpeed QX/i,0,5,9,78,0.0,0.115385,-0.115385,0.0,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,LightSpeed Ultra,0,5,7,78,0.0,0.089744,-0.089744,0.0,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,LightSpeed VCT,1,5,12,78,0.2,0.153846,0.046154,1.375,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,LightSpeed16,2,5,27,78,0.4,0.346154,0.053846,1.259259,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,SOMATOM Definition,0,5,1,78,0.0,0.012821,-0.012821,0.0,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,Sensation 16,1,5,1,78,0.2,0.012821,0.187179,19.25,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,Sensation 64,0,5,12,78,0.0,0.153846,-0.153846,0.0,1.0,,,,,,,,
5V_CORE06,ct_scanner_model,Volume Zoom,0,5,4,78,0.0,0.051282,-0.051282,0.0,1.0,,,,,,,,
5V_CORE06,ct_reconstruction_kernel,B20f,0,5,1,78,0.0,0.012821,-0.012821,0.0,1.0,,,,,,,,
