family_id,initial_k,repeat,support
Subtype_A,2,1,0.0
Subtype_A,2,2,0.0
Subtype_A,2,3,0.0
Subtype_A,3,1,0.5063291139240507
Subtype_A,3,2,0.0
Subtype_A,3,3,0.0
Subtype_A,4,1,0.0
Subtype_A,4,2,0.5714285714285714
Subtype_A,4,3,0.0
Subtype_A,5,2,0.96
Subtype_A,5,3,0.0
Subtype_A,6,1,0.7209302325581395
Subtype_A,6,2,0.0
Subtype_A,6,3,0.0
Subtype_A,7,1,0.0
Subtype_A,7,2,0.0
Subtype_A,7,3,0.45454545454545453
Subtype_A,8,1,0.0
Subtype_A,8,2,0.5714285714285714
Subtype_B,2,1,0.9504950495049505
Subtype_B,2,2,0.9504950495049505
Subtype_B,2,3,0.0
Subtype_B,3,1,0.6929133858267716
Subtype_B,3,2,0.0
Subtype_B,3,3,0.691358024691358
Subtype_B,4,1,0.0
Subtype_B,4,2,0.8478260869565217
Subtype_B,4,3,0.8478260869565217
Subtype_B,5,2,0.8478260869565217
Subtype_B,5,3,0.0
Subtype_B,6,1,0.8089887640449438
Subtype_B,6,2,0.0
Subtype_B,6,3,0.0
Subtype_B,7,1,0.417910447761194
Subtype_B,7,2,0.0
Subtype_B,7,3,0.417910447761194
Subtype_B,8,1,0.0
Subtype_B,8,2,0.4411764705882353
