left_core_id,right_core_id,left_member_count,right_member_count,shared_member_count,overlap_coefficient,shared_member_ids
CORE01,CORE02,10,11,0,0.0,[]
CORE01,CORE03,10,11,1,0.1,"[""TCGA-BP-5009""]"
CORE01,CORE04,10,16,0,0.0,[]
CORE01,CORE05,10,13,0,0.0,[]
CORE01,CORE06,10,10,0,0.0,[]
CORE01,CORE07,10,13,0,0.0,[]
CORE02,CORE03,11,11,0,0.0,[]
CORE02,CORE04,11,16,0,0.0,[]
CORE02,CORE05,11,13,0,0.0,[]
CORE02,CORE06,11,10,0,0.0,[]
CORE02,CORE07,11,13,0,0.0,[]
CORE03,CORE04,11,16,0,0.0,[]
CORE03,CORE05,11,13,0,0.0,[]
CORE03,CORE06,11,10,0,0.0,[]
CORE03,CORE07,11,13,0,0.0,[]
CORE04,CORE05,16,13,0,0.0,[]
CORE04,CORE06,16,10,0,0.0,[]
CORE04,CORE07,16,13,0,0.0,[]
CORE05,CORE06,13,10,0,0.0,[]
CORE05,CORE07,13,13,0,0.0,[]
CORE06,CORE07,10,13,0,0.0,[]
