family_id,initial_k,mean,std,min,max,count
Subtype_A,2,0.0,0.0,0.0,0.0,3
Subtype_A,3,0.1687763713080169,0.2923292502225953,0.0,0.5063291139240507,3
Subtype_A,4,0.19047619047619047,0.329914439536929,0.0,0.5714285714285714,3
Subtype_A,5,0.48,0.6788225099390857,0.0,0.96,2
Subtype_A,6,0.24031007751937983,0.4162292638343813,0.0,0.7209302325581395,3
Subtype_A,7,0.15151515151515152,0.262431940540739,0.0,0.45454545454545453,3
Subtype_A,8,0.2857142857142857,0.40406101782088427,0.0,0.5714285714285714,2
Subtype_B,2,0.6336633663366337,0.5487685726950898,0.0,0.9504950495049505,3
Subtype_B,3,0.46142380350604323,0.3996054924779602,0.0,0.6929133858267716,3
Subtype_B,4,0.5652173913043478,0.4894926195303349,0.0,0.8478260869565217,3
Subtype_B,5,0.42391304347826086,0.599503575353812,0.0,0.8478260869565217,2
Subtype_B,6,0.2696629213483146,0.4670698806927309,0.0,0.8089887640449438,3
Subtype_B,7,0.27860696517412936,0.2412807095120824,0.0,0.417910447761194,3
Subtype_B,8,0.22058823529411764,0.3119588740528886,0.0,0.4411764705882353,2
