recurrent_set_id,family_id,overlap_count,purity,coverage
RS001,Subtype_B,10,1.0,0.18867924528301888
RS002,Subtype_B,10,1.0,0.18867924528301888
RS003,Subtype_B,10,1.0,0.18867924528301888
RS004,Subtype_B,25,1.0,0.4716981132075472
RS005,Subtype_B,13,1.0,0.24528301886792453
RS006,Subtype_B,11,1.0,0.20754716981132076
RS007,Subtype_B,26,1.0,0.49056603773584906
RS008,Subtype_B,11,1.0,0.20754716981132076
RS009,Subtype_B,11,1.0,0.20754716981132076
RS010,Subtype_B,11,1.0,0.20754716981132076
RS011,Subtype_B,30,1.0,0.5660377358490566
RS012,Subtype_B,28,1.0,0.5283018867924528
RS013,Subtype_B,26,1.0,0.49056603773584906
RS014,Subtype_B,14,1.0,0.2641509433962264
RS015,Subtype_B,13,1.0,0.24528301886792453
RS016,Subtype_B,12,1.0,0.22641509433962265
RS017,Subtype_B,33,1.0,0.6226415094339622
RS018,Subtype_B,31,1.0,0.5849056603773585
RS019,Subtype_B,29,1.0,0.5471698113207547
RS020,Subtype_B,27,1.0,0.5094339622641509
RS021,Subtype_A,16,1.0,0.32
RS022,Subtype_A,13,1.0,0.26
RS023,Subtype_B,13,1.0,0.24528301886792453
RS024,Subtype_B,12,1.0,0.22641509433962265
RS025,Subtype_B,10,1.0,0.18867924528301888
RS026,Subtype_B,10,1.0,0.18867924528301888
RS027,Subtype_B,34,1.0,0.6415094339622641
RS028,Subtype_B,33,1.0,0.6226415094339622
RS029,Subtype_B,31,1.0,0.5849056603773585
RS030,Subtype_B,29,1.0,0.5471698113207547
RS031,Subtype_B,29,1.0,0.5471698113207547
RS032,Subtype_B,28,1.0,0.5283018867924528
RS033,Subtype_B,28,1.0,0.5283018867924528
RS034,Subtype_A,17,1.0,0.34
RS035,Subtype_B,15,1.0,0.2830188679245283
RS036,Subtype_A,14,1.0,0.28
RS037,Subtype_A,13,0.9285714285714286,0.26
RS038,Subtype_A,14,1.0,0.28
RS039,Subtype_A,13,1.0,0.26
RS040,Subtype_B,11,0.8461538461538461,0.20754716981132076
RS041,Subtype_B,13,1.0,0.24528301886792453
RS042,Subtype_B,11,1.0,0.20754716981132076
RS043,Subtype_B,43,1.0,0.8113207547169812
RS044,Subtype_B,38,1.0,0.7169811320754716
RS045,Subtype_B,34,1.0,0.6415094339622641
RS046,Subtype_B,34,1.0,0.6415094339622641
RS047,Subtype_B,33,1.0,0.6226415094339622
RS048,Subtype_A,30,1.0,0.6
RS049,Subtype_B,30,1.0,0.5660377358490566
RS050,Subtype_A,17,1.0,0.34
RS051,Subtype_A,14,0.9333333333333333,0.28
RS052,Subtype_A,15,1.0,0.3
RS053,Subtype_A,14,0.9333333333333333,0.28
RS054,Subtype_A,13,0.8666666666666667,0.26
RS055,Subtype_B,48,1.0,0.9056603773584906
RS056,Subtype_B,39,1.0,0.7358490566037735
RS057,Subtype_B,34,1.0,0.6415094339622641
RS058,Subtype_A,30,0.8823529411764706,0.6
RS059,Subtype_A,30,0.9375,0.6
RS060,Subtype_A,31,1.0,0.62
RS061,Subtype_B,30,1.0,0.5660377358490566
RS062,Subtype_A,20,1.0,0.4
RS063,Subtype_A,19,1.0,0.38
RS064,Subtype_A,18,1.0,0.36
RS065,Subtype_A,18,1.0,0.36
RS066,Subtype_A,15,0.9375,0.3
RS067,Subtype_A,13,0.8125,0.26
RS068,Subtype_B,12,0.8571428571428571,0.22641509433962265
RS069,Subtype_B,44,0.5945945945945946,0.8301886792452831
RS070,Subtype_A,48,0.96,0.96
RS071,Subtype_B,39,1.0,0.7358490566037735
RS072,Subtype_B,36,1.0,0.6792452830188679
RS073,Subtype_A,31,0.8611111111111112,0.62
RS074,Subtype_A,20,0.6896551724137931,0.4
RS075,Subtype_A,20,1.0,0.4
RS076,Subtype_B,12,0.9230769230769231,0.22641509433962265
