rank,recurrent_set_id,member_count,occurrence_count,total_accept_set_count,accept_set_frequency,supporting_k_count,supporting_ks,supporting_run_count,usable_run_count,run_support_frequency,member_ids
11,RS011,11,8,27,0.2962962962962963,5,"[2, 4, 6, 7, 8]",8,19,0.42105263157894735,"[""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4977"", ""TCGA-BP-4986"", ""TCGA-BP-5174"", ""TCGA-BP-5196"", ""TCGA-CZ-5984""]"
12,RS012,10,8,27,0.2962962962962963,4,"[2, 3, 4, 8]",8,19,0.42105263157894735,"[""TCGA-B0-5085"", ""TCGA-BP-4976"", ""TCGA-BP-4995"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5192"", ""TCGA-BP-5199"", ""TCGA-CZ-4859""]"
13,RS013,33,7,27,0.25925925925925924,3,"[2, 4, 5]",7,19,0.3684210526315789,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
14,RS014,31,7,27,0.25925925925925924,4,"[2, 4, 5, 6]",7,19,0.3684210526315789,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859""]"
15,RS015,28,7,27,0.25925925925925924,3,"[2, 3, 4]",7,19,0.3684210526315789,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CZ-4859""]"
16,RS016,16,7,27,0.25925925925925924,5,"[4, 5, 6, 7, 8]",7,19,0.3684210526315789,"[""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
17,RS017,11,7,27,0.25925925925925924,5,"[4, 5, 6, 7, 8]",7,19,0.3684210526315789,"[""TCGA-B0-4712"", ""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4960"", ""TCGA-BP-4989"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187""]"
18,RS018,34,6,27,0.2222222222222222,3,"[2, 4, 5]",6,19,0.3157894736842105,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
19,RS019,31,6,27,0.2222222222222222,3,"[2, 4, 6]",6,19,0.3157894736842105,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859""]"
20,RS020,14,6,27,0.2222222222222222,4,"[4, 5, 6, 7]",6,19,0.3157894736842105,"[""TCGA-B0-4712"", ""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4960"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-CJ-4904""]"
