recurrent_set_id,member_count,occurrence_count,supporting_k_count,eligible,status,core_id,representative_recurrent_set_id,shared_member_count,overlap_coefficient,reason
RS062,20,2,2,True,redundant_variant,CORE04,RS021,16,1.0,
RS063,19,2,2,True,redundant_variant,CORE04,RS021,16,1.0,
RS064,18,2,2,True,redundant_variant,CORE04,RS021,16,1.0,
RS065,18,2,2,True,redundant_variant,CORE04,RS021,16,1.0,
RS066,16,2,2,True,redundant_variant,CORE05,RS022,13,1.0,
RS067,16,2,2,True,redundant_variant,CORE07,RS039,13,1.0,
RS068,14,2,2,True,redundant_variant,CORE02,RS006,11,1.0,
RS069,74,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS070,50,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS071,39,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS072,36,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS073,36,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS074,29,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS075,20,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
RS076,13,1,1,False,insufficient_recurrence,,,0,0.0,occurrence_and_k_support_below_minimum
