variable,grouping,group_n,group_medians,test,epsilon_squared,p_value,q_value
ct_slice_thickness,four_stable_cores,"[21, 14, 12, 9]","[2.5, 5.0, 4.0, 5.0]",kruskal_wallis,0.01877342739303893,0.2640436094578163,0.39360474642193977
ct_z_spacing,four_stable_cores,"[21, 14, 12, 9]","[2.5, 3.750000000000007, 3.9724999999999966, 5.0]",kruskal_wallis,0.0,0.39360474642193977,0.39360474642193977
ct_pixel_spacing,four_stable_cores,"[21, 14, 12, 9]","[0.8125, 0.7783205, 0.779297, 0.826172]",kruskal_wallis,0.015112255682130328,0.28553779425749537,0.39360474642193977
ct_n_images,four_stable_cores,"[21, 14, 12, 9]","[109.0, 100.0, 98.0, 77.0]",kruskal_wallis,0.0007976658855750607,0.38527409571250854,0.39360474642193977
ct_study_year,four_stable_cores,"[21, 14, 12, 9]","[1991.0, 1990.5, 1995.0, 1998.0]",kruskal_wallis,0.0901661911660355,0.052904490976636916,0.2645224548831846
