variable,grouping,levels,counts,test,cramers_v,p_value,q_value
tissue_source_site,four_stable_cores,"[""B0"", ""B8"", ""BP"", ""CJ"", ""CZ"", ""G6""]","[[4, 1, 14, 1, 1, 0], [3, 2, 5, 3, 0, 1], [2, 3, 1, 4, 1, 1], [1, 4, 2, 0, 2, 0]]",monte_carlo_chi2,0.2668087609823091,0.0230976902309769,0.06674332566743325
ct_phase,four_stable_cores,"[""ART"", ""CE_UNSPECIFIED"", ""DEL"", ""MAIN_CE_HIGH"", ""MAIN_CE_MEDIUM"", ""NC"", ""NEPH"", ""UNKNOWN""]","[[1, 5, 3, 4, 0, 1, 0, 7], [0, 1, 1, 2, 0, 2, 2, 6], [2, 0, 2, 0, 0, 0, 0, 8], [2, 0, 0, 1, 1, 0, 0, 5]]",monte_carlo_chi2,0.24023179629906233,0.0608939106089391,0.1014898510148985
ct_manufacturer,four_stable_cores,"[""GE"", ""PHILIPS"", ""SIEMENS""]","[[18, 0, 3], [11, 1, 2], [7, 0, 5], [3, 0, 6]]",monte_carlo_chi2,0.2644159953353194,0.013098690130986902,0.0654934506549345
ct_scanner_model,four_stable_cores,"[""Definition"", ""Definition AS+"", ""Gemini TF 64"", ""LightSpeed Plus"", ""LightSpeed QX/i"", ""LightSpeed Ultra"", ""LightSpeed VCT"", ""LightSpeed16"", ""SOMATOM Definition"", ""Sensation 16"", ""Sensation 64""]","[[0, 1, 0, 0, 2, 1, 3, 12, 0, 1, 1], [1, 0, 1, 2, 6, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 2, 0, 4, 0, 1, 4], [0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 4]]",monte_carlo_chi2,0.36168202576065644,0.0020997900209979003,0.020997900209979003
ct_reconstruction_kernel,four_stable_cores,"[""B"", ""B30f"", ""B31f"", ""SOFT"", ""STANDARD""]","[[0, 1, 2, 1, 17], [1, 1, 1, 2, 9], [0, 1, 4, 0, 7], [0, 4, 2, 1, 2]]",monte_carlo_chi2,0.23879459086426402,0.026697330266973303,0.06674332566743325
