variable,grouping,group_n,group_medians,test,effect_size,p_value,group_counts
wsi_patch_count,four_stable_cores,"[21, 14, 12, 9]","[18478.0, 18750.5, 14735.5, 17967.0]",kruskal_wallis,0.03642864028202389,0.1797034859836027,
wsi_tumor_patch_count,four_stable_cores,"[21, 14, 12, 9]","[6860.0, 7527.5, 5584.5, 6437.0]",kruskal_wallis,0.0,0.3983250110602111,
wsi_tumor_patch_fraction,four_stable_cores,"[21, 14, 12, 9]","[0.4277341314378351, 0.3509776177242826, 0.3699273187767123, 0.35666476787240103]",kruskal_wallis,0.0,0.8707886028747402,
wxs_discovery_all_zero_proxy,four_stable_cores,"[21, 14, 12, 9]",,pearson_chi2,0.8392208250397997,4.472280350827721e-09,"[[21, 0], [14, 0], [12, 0], [2, 7]]"
cnv_missing_feature_count,four_stable_cores,"[21, 14, 12, 9]","[0.0, 0.0, 0.0, 0.0]",invariant_or_not_testable,,,
cnv_feature_completeness_proxy,four_stable_cores,"[21, 14, 12, 9]","[54.0, 54.0, 54.0, 54.0]",invariant_or_not_testable,,,
