jaccard_threshold,overlap_threshold,relation_component_count,recurrent_relation_component_count,cohesive_family_count,cohesive_family_sizes
0.5,0.8,10,7,12,"[71, 41, 32, 28, 26, 24, 23, 23, 20, 19, 19, 18]"
0.5,1.0,23,6,6,"[41, 22, 19, 19, 18, 18]"
0.6666666666666666,0.8,17,10,11,"[51, 41, 31, 25, 23, 22, 20, 19, 18, 16, 11]"
0.6666666666666666,1.0,26,5,5,"[41, 19, 18, 18, 11]"
0.75,0.8,19,9,10,"[51, 31, 31, 25, 23, 22, 20, 19, 16, 11]"
0.75,1.0,28,3,3,"[19, 18, 11]"
