core_id,CORE01,CORE02,CORE03,CORE04,CORE05
CORE01,,0.9792105,0.95322368,0.97954838,0.97990554
CORE02,0.9792105,,0.97840197,0.96779575,0.9436143
CORE03,0.95322368,0.97840197,,0.97046231,0.97142205
CORE04,0.97954838,0.96779575,0.97046231,,0.95817381
CORE05,0.97990554,0.9436143,0.97142205,0.95817381,
