core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE01,CORE02,age,18,14,57.0,66.0,-0.5563212,-0.5563212,0.13309819,0.41568207,,,,,,,,,,,,,,,,,
CORE01,CORE02,gender,,,,,,,0.6128198,0.69452911,FEMALE,3,18,1,14,0.16666666666666666,0.07142857142857142,0.09523809523809523,2.03225806,0.26235311,15.74242015,,,,,,
CORE01,CORE02,gender,,,,,,,0.6128198,0.69452911,MALE,15,18,13,14,0.8333333333333334,0.9285714285714286,-0.09523809523809523,0.49206349,0.06352263,3.81165678,,,,,,
CORE01,CORE02,stage_group,,,,,,,0.02650328,0.41568207,I,15,18,6,14,0.8333333333333334,0.42857142857142855,0.4047619047619048,5.79120879,1.23477869,27.16122284,,,,,,
CORE01,CORE02,stage_group,,,,,,,0.56814516,0.69452911,II,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,,,,,,
CORE01,CORE02,stage_group,,,,,,,0.14196329,0.41568207,III,1,18,4,14,0.05555555555555555,0.2857142857142857,-0.23015873015873015,0.2,0.02706609,1.47786376,,,,,,
CORE01,CORE02,stage_group,,,,,,,0.56814516,0.69452911,IV,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,,,,,,
CORE01,CORE02,t_stage,,,,,,,0.08697421,0.41568207,T1A,11,18,4,14,0.6111111111111112,0.2857142857142857,0.32539682539682546,3.57777778,0.84996971,15.05994119,,,,,,
CORE01,CORE02,t_stage,,,,,,,0.6722284,0.71424267,T1B,4,18,2,14,0.2222222222222222,0.14285714285714285,0.07936507936507936,1.55172414,0.27752276,8.67621742,,,,,,
CORE01,CORE02,t_stage,,,,,,,0.56814516,0.69452911,T2,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,,,,,,
CORE01,CORE02,t_stage,,,,,,,0.36494253,0.69452911,T3A,2,18,4,14,0.1111111111111111,0.2857142857142857,-0.1746031746031746,0.35353535,0.06274666,1.99193475,,,,,,
CORE01,CORE02,t_stage,,,,,,,0.18346774,0.44556451,T3B,0,18,2,14,0.0,0.14285714285714285,-0.14285714285714285,0.13513514,0.00596678,3.06052857,,,,,,
CORE01,CORE02,m_stage,,,,,,,0.56814516,0.69452911,M0,17,18,12,14,0.9444444444444444,0.8571428571428571,0.08730158730158732,2.33333333,0.27166654,20.04090905,,,,,,
CORE01,CORE02,m_stage,,,,,,,0.56814516,0.69452911,M1,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,,,,,,
CORE01,CORE02,grade,,,,,,,0.14671132,0.41568207,G2,9,18,3,14,0.5,0.21428571428571427,0.2857142857142857,3.28571429,0.73549181,14.67850252,,,,,,
CORE01,CORE02,grade,,,,,,,0.73453876,0.73453876,G3,9,18,8,14,0.5,0.5714285714285714,-0.0714285714285714,0.76470588,0.19611669,2.9817712,,,,,,
CORE01,CORE02,grade,,,,,,,0.0733871,0.41568207,G4,0,18,3,14,0.0,0.21428571428571427,-0.21428571428571427,0.08880309,0.00419186,1.8812644,,,,,,
CORE01,CORE02,overall_survival,,,,,,,0.01658419,0.0731503,,,,,,,,,,,,18,14,1,7,1129.5,1098.5
CORE01,CORE03,age,18,11,57.0,46.0,0.85633423,0.85633423,0.03844324,0.5766486,,,,,,,,,,,,,,,,,
