core_id,CORE01,CORE02,CORE03,CORE04,CORE05
CORE01,,0.99116106,0.99086883,0.9911216,0.99135988
CORE02,0.99116106,,0.9910146,0.9910591,0.99066012
CORE03,0.99086883,0.9910146,,0.99111063,0.99129458
CORE04,0.9911216,0.9910591,0.99111063,,0.991073
CORE05,0.99135988,0.99066012,0.99129458,0.991073,
