core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,event,set_altered_n,set_total_n,rest_altered_n,rest_total_n,alteration_frequency,rest_alteration_frequency,delta_alteration_frequency
CORE01,chr1p::loss,1.0,1.0,1.04835165,0.16495467,6.66268624,-0.015032679738562094,loss,1,18,6,85,0.05555555555555555,0.07058823529411765,-0.015032679738562094
CORE01,chr1p::gain,1.0,1.0,4.62162162,0.0888025,240.52686977,0.0,gain,0,18,0,85,0.0,0.0,0.0
CORE01,chr1q::loss,1.0,1.0,0.63706564,0.03153323,12.87063332,-0.03529411764705882,loss,0,18,3,85,0.0,0.03529411764705882,-0.03529411764705882
CORE01,chr1q::gain,1.0,0.58706767,0.33056133,0.01781682,6.1330126,-0.07058823529411765,gain,0,18,6,85,0.0,0.07058823529411765,-0.07058823529411765
CORE01,chr2p::loss,1.0,1.0,0.9027027,0.04157454,19.60026958,-0.023529411764705882,loss,0,18,2,85,0.0,0.023529411764705882,-0.023529411764705882
CORE01,chr2p::gain,1.0,0.58706767,0.33056133,0.01781682,6.1330126,-0.07058823529411765,gain,0,18,6,85,0.0,0.07058823529411765,-0.07058823529411765
CORE01,chr2q::loss,1.0,1.0,0.9027027,0.04157454,19.60026958,-0.023529411764705882,loss,0,18,2,85,0.0,0.023529411764705882,-0.023529411764705882
CORE01,chr2q::gain,1.0,0.58366905,0.3955774,0.02093581,7.4743471,-0.058823529411764705,gain,0,18,5,85,0.0,0.058823529411764705,-0.058823529411764705
CORE01,chr3p::loss,0.8644092,0.0656411,4.64769648,0.82231127,26.26874197,0.226797385620915,loss,17,18,61,85,0.9444444444444444,0.7176470588235294,0.226797385620915
CORE01,chr3p::gain,1.0,1.0,0.9027027,0.04157454,19.60026958,-0.023529411764705882,gain,0,18,2,85,0.0,0.023529411764705882,-0.023529411764705882
CORE01,chr3q::loss,1.0,0.40176581,2.05882353,0.52893117,8.01381083,0.07254901960784313,loss,3,18,8,85,0.16666666666666666,0.09411764705882353,0.07254901960784313
