core_id,CORE01,CORE02,CORE03,CORE04,CORE05
CORE01,,0.99088107,0.99085122,0.99096529,0.99119549
CORE02,0.99088107,,0.99092411,0.99088945,0.99080205
CORE03,0.99085122,0.99092411,,0.99104939,0.9908043
CORE04,0.99096529,0.99088945,0.99104939,,0.99064696
CORE05,0.99119549,0.99080205,0.9908043,0.99064696,
