core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE01,HALLMARK_NOTCH_SIGNALING,18,85,0.33490372,0.31885851,0.33319864,0.30809556,0.54585005,up,0.03300986,0.17792162,18,85
CORE01,HALLMARK_OXIDATIVE_PHOSPHORYLATION,18,85,0.58155082,0.57577011,0.57424037,0.57996989,-0.11941846,down,0.87236347,0.92298137,18,85
CORE01,HALLMARK_P53_PATHWAY,18,85,0.36384916,0.3815847,0.36956854,0.37756436,-0.29162656,down,0.15065269,0.26902266,18,85
CORE01,HALLMARK_PANCREAS_BETA_CELLS,18,85,0.3362876,0.24531526,0.32803644,0.24817482,0.84507941,up,0.00169336,0.042334,18,85
CORE01,HALLMARK_PEROXISOME,18,85,0.35666016,0.35331227,0.36133024,0.34859831,0.36622036,up,0.2498753,0.40302468,18,85
CORE01,HALLMARK_PI3K_AKT_MTOR_SIGNALING,18,85,0.31480727,0.32214694,0.3136302,0.32264872,-0.42413888,down,0.04531692,0.17792162,18,85
CORE01,HALLMARK_PROTEIN_SECRETION,18,85,0.47142548,0.46290911,0.46413397,0.45159422,0.22301887,up,0.52328728,0.67814728,18,85
CORE01,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,18,85,0.49965999,0.51444527,0.50166456,0.5116713,-0.39505492,down,0.10910496,0.20981723,18,85
CORE01,HALLMARK_SPERMATOGENESIS,18,85,-0.17504216,-0.17447355,-0.16741145,-0.16475831,-0.07189866,down,0.56360363,0.6873215,18,85
CORE01,HALLMARK_TGF_BETA_SIGNALING,18,85,0.50183386,0.47348649,0.49656448,0.4608918,0.65813095,up,0.00567646,0.06998125,18,85
CORE01,HALLMARK_TNFA_SIGNALING_VIA_NFKB,18,85,0.40178343,0.4126762,0.3905046,0.39605718,-0.07533409,down,0.4954241,0.67814728,18,85
CORE01,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,18,85,0.41262813,0.43118929,0.41447394,0.43015767,-0.49156915,down,0.06009139,0.18778559,18,85
CORE01,HALLMARK_UV_RESPONSE_DN,18,85,0.27084454,0.23857336,0.26679373,0.23206401,0.65233126,up,0.00719352,0.06998125,18,85
CORE01,HALLMARK_UV_RESPONSE_UP,18,85,0.39727953,0.40185005,0.40159883,0.4020556,-0.024417,down,0.48450481,0.67814728,18,85
