core_a,core_b,run_id,K,dominant_set_a,dominant_fraction_a,dominant_set_b,dominant_fraction_b,valid_assignment,same_parent_set
CORE01,CORE02,run1_K2,2,C0002,1.0,C0001,1.0,1,0
CORE01,CORE03,run1_K2,2,C0002,1.0,C0002,0.81818182,1,1
CORE01,CORE04,run1_K2,2,C0002,1.0,C0001,1.0,1,0
CORE01,CORE05,run1_K2,2,C0002,1.0,C0001,1.0,1,0
CORE02,CORE03,run1_K2,2,C0001,1.0,C0002,0.81818182,1,0
CORE02,CORE04,run1_K2,2,C0001,1.0,C0001,1.0,1,1
CORE02,CORE05,run1_K2,2,C0001,1.0,C0001,1.0,1,1
CORE03,CORE04,run1_K2,2,C0002,0.81818182,C0001,1.0,1,0
CORE03,CORE05,run1_K2,2,C0002,0.81818182,C0001,1.0,1,0
CORE04,CORE05,run1_K2,2,C0001,1.0,C0001,1.0,1,1
CORE01,CORE02,run1_K3,3,C0003,1.0,C0001,0.92857143,1,0
CORE01,CORE03,run1_K3,3,C0003,1.0,C0003,1.0,1,1
CORE01,CORE04,run1_K3,3,C0003,1.0,C0001,0.63636364,1,0
CORE01,CORE05,run1_K3,3,C0003,1.0,C0001,0.4,0,
CORE02,CORE03,run1_K3,3,C0001,0.92857143,C0003,1.0,1,0
CORE02,CORE04,run1_K3,3,C0001,0.92857143,C0001,0.63636364,1,1
CORE02,CORE05,run1_K3,3,C0001,0.92857143,C0001,0.4,0,
CORE03,CORE04,run1_K3,3,C0003,1.0,C0001,0.63636364,1,0
CORE03,CORE05,run1_K3,3,C0003,1.0,C0001,0.4,0,
CORE04,CORE05,run1_K3,3,C0001,0.63636364,C0001,0.4,0,
CORE01,CORE02,run1_K4,4,C0002,1.0,C0001,1.0,1,0
CORE01,CORE03,run1_K4,4,C0002,1.0,C0002,1.0,1,1
CORE01,CORE04,run1_K4,4,C0002,1.0,C0001,0.54545455,1,0
CORE01,CORE05,run1_K4,4,C0002,1.0,C0001,1.0,1,0
CORE02,CORE03,run1_K4,4,C0001,1.0,C0002,1.0,1,0
CORE02,CORE04,run1_K4,4,C0001,1.0,C0001,0.54545455,1,1
CORE02,CORE05,run1_K4,4,C0001,1.0,C0001,1.0,1,1
CORE03,CORE04,run1_K4,4,C0002,1.0,C0001,0.54545455,1,0
CORE03,CORE05,run1_K4,4,C0002,1.0,C0001,1.0,1,0
CORE04,CORE05,run1_K4,4,C0001,0.54545455,C0001,1.0,1,1
CORE01,CORE02,run1_K5,5,C0002,1.0,C0001,1.0,1,0
CORE01,CORE03,run1_K5,5,C0002,1.0,C0002,1.0,1,1
CORE01,CORE04,run1_K5,5,C0002,1.0,C0005,1.0,1,0
CORE01,CORE05,run1_K5,5,C0002,1.0,C0001,1.0,1,0
CORE02,CORE03,run1_K5,5,C0001,1.0,C0002,1.0,1,0
CORE02,CORE04,run1_K5,5,C0001,1.0,C0005,1.0,1,0
CORE02,CORE05,run1_K5,5,C0001,1.0,C0001,1.0,1,1
CORE03,CORE04,run1_K5,5,C0002,1.0,C0005,1.0,1,0
CORE03,CORE05,run1_K5,5,C0002,1.0,C0001,1.0,1,0
CORE04,CORE05,run1_K5,5,C0005,1.0,C0001,1.0,1,0
CORE01,CORE02,run1_K6,6,C0002,1.0,C0001,0.92857143,1,0
CORE01,CORE03,run1_K6,6,C0002,1.0,C0006,0.0,0,
CORE01,CORE04,run1_K6,6,C0002,1.0,C0006,1.0,1,0
CORE01,CORE05,run1_K6,6,C0002,1.0,C0001,1.0,1,0
CORE02,CORE03,run1_K6,6,C0001,0.92857143,C0006,0.0,0,
CORE02,CORE04,run1_K6,6,C0001,0.92857143,C0006,1.0,1,0
CORE02,CORE05,run1_K6,6,C0001,0.92857143,C0001,1.0,1,1
CORE03,CORE04,run1_K6,6,C0006,0.0,C0006,1.0,0,
CORE03,CORE05,run1_K6,6,C0006,0.0,C0001,1.0,0,
CORE04,CORE05,run1_K6,6,C0006,1.0,C0001,1.0,1,0
CORE01,CORE02,run1_K7,7,C0004,0.94444444,C0001,1.0,1,0
CORE01,CORE03,run1_K7,7,C0004,0.94444444,C0005,1.0,1,0
CORE01,CORE04,run1_K7,7,C0004,0.94444444,C0006,1.0,1,0
