modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,36.131359,0.711,999,0,0.0,0.0,[],1.0
wsi,estimable,,1.074974,1.0,999,0,0.0,0.0,[],1.0
rna,estimable,,3.114756,1.0,999,1,0.012703,0.000473,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],1.0
genomic,estimable,,6753.877349,0.995,999,0,0.0,0.0,[],1.0
fused,estimable,,13062.561589,1.0,999,0,0.0,0.0,[],1.0
