core_id,CORE01,CORE02,CORE03,CORE04,CORE05
CORE01,,0.97036024,0.96981335,0.96651479,0.97343679
CORE02,0.97036024,,0.96998399,0.97291056,0.97225762
CORE03,0.96981335,0.96998399,,0.97166069,0.97826689
CORE04,0.96651479,0.97291056,0.97166069,,0.97358269
CORE05,0.97343679,0.97225762,0.97826689,0.97358269,
