core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
CORE01,CORE02,HALLMARK_ADIPOGENESIS,1.65872587,0.00033098,0.00368142,0.47897262,0.43600896
CORE01,CORE02,HALLMARK_ALLOGRAFT_REJECTION,-1.59934141,0.00024663,0.00368142,0.19230124,0.27426189
CORE01,CORE02,HALLMARK_ANDROGEN_RESPONSE,1.40452391,0.00058644,0.00418886,0.43676558,0.34640937
CORE01,CORE02,HALLMARK_ANGIOGENESIS,-0.02433736,0.71819277,0.76403486,0.49168134,0.5263757
CORE01,CORE02,HALLMARK_APICAL_JUNCTION,-0.60341758,0.19001098,0.30646932,0.29794491,0.30837211
CORE01,CORE02,HALLMARK_APICAL_SURFACE,-0.05385203,0.83450466,0.83450466,0.08642266,0.09447274
CORE01,CORE02,HALLMARK_APOPTOSIS,-0.81868146,0.0289443,0.07616921,0.44081437,0.45222771
CORE01,CORE02,HALLMARK_BILE_ACID_METABOLISM,1.36050775,0.00366088,0.01525367,0.17730295,0.13396781
CORE01,CORE02,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.16814452,0.45884883,0.54624861,0.32378537,0.33310299
CORE01,CORE02,HALLMARK_COAGULATION,-1.56429868,0.00044177,0.00368142,0.3678839,0.41697777
CORE01,CORE02,HALLMARK_COMPLEMENT,-0.94322589,0.00660639,0.02359425,0.2925629,0.32205333
CORE01,CORE02,HALLMARK_DNA_REPAIR,-1.44348073,0.00077426,0.00483913,0.29119022,0.31111096
CORE01,CORE02,HALLMARK_E2F_TARGETS,-0.53366847,0.43613842,0.54624861,0.09227065,0.08876937
CORE01,CORE02,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.98127168,0.01758804,0.05172953,0.40259277,0.44055719
CORE01,CORE02,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.0409955,0.0074047,0.02468233,0.25037089,0.21097745
CORE01,CORE02,HALLMARK_ESTROGEN_RESPONSE_LATE,0.28705451,0.45884883,0.54624861,0.2453884,0.24272235
CORE01,CORE02,HALLMARK_FATTY_ACID_METABOLISM,1.66898324,0.00038265,0.00368142,0.42153978,0.36557768
CORE01,CORE02,HALLMARK_G2M_CHECKPOINT,-0.5635544,0.45884883,0.54624861,0.09239662,0.09716994
CORE01,CORE02,HALLMARK_GLYCOLYSIS,-0.21262839,0.48220727,0.56070613,0.39263077,0.38868
CORE01,CORE02,HALLMARK_HEDGEHOG_SIGNALING,0.22678161,0.60807542,0.66095154,0.15400235,0.13887912
CORE01,CORE02,HALLMARK_HEME_METABOLISM,1.57719835,9.875e-05,0.00246875,0.33288064,0.28687132
CORE01,CORE02,HALLMARK_HYPOXIA,-0.66203466,0.06006046,0.13056622,0.46702924,0.47992678
CORE01,CORE02,HALLMARK_IL2_STAT5_SIGNALING,-0.395928,0.23146794,0.36166866,0.28311581,0.29327745
CORE01,CORE02,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.42985239,0.0011627,0.00645944,0.26010371,0.34376154
CORE01,CORE02,HALLMARK_INFLAMMATORY_RESPONSE,-0.85951456,0.02155013,0.05986147,0.16977753,0.2283079
CORE01,CORE02,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.72879407,0.1064317,0.2128634,0.38707445,0.41640835
CORE01,CORE02,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.78671232,0.05506837,0.12515539,0.32991202,0.35732708
CORE01,CORE02,HALLMARK_KRAS_SIGNALING_DN,0.42135697,0.39271486,0.54543731,-0.14506802,-0.1494497
CORE01,CORE02,HALLMARK_KRAS_SIGNALING_UP,-0.59961312,0.04611818,0.10980519,0.2052561,0.22696482
CORE01,CORE02,HALLMARK_MITOTIC_SPINDLE,0.56588446,0.13348987,0.24720346,0.18834302,0.16214413
CORE01,CORE02,HALLMARK_MTORC1_SIGNALING,-0.05381086,0.74677984,0.77789567,0.42092847,0.41513204
CORE01,CORE02,HALLMARK_MYC_TARGETS_V1,0.17032698,0.27897469,0.4102569,0.56254503,0.54388803
CORE01,CORE02,HALLMARK_MYC_TARGETS_V2,-0.76340083,0.06542212,0.13629608,0.19510147,0.24645962
CORE01,CORE02,HALLMARK_MYOGENESIS,-0.35345866,0.45884883,0.54624861,0.276444,0.27767206
