core_id,m1,m2,m3,m4,missing_n,total_n,coverage
CORE01,9,3,1,0,4,17,0.7647058823529411
CORE02,3,1,4,1,5,14,0.6428571428571429
CORE03,1,3,4,3,3,14,0.7857142857142857
CORE04,4,0,2,3,1,10,0.9
CORE05,2,3,3,1,0,9,1.0
CORE06,3,2,0,0,0,5,1.0
