partition,group_a,group_b,n_a,n_b,median_a,median_b,p_value,holm_p
5V-6core,CORE01,CORE02,12,10,0.9999998526,-0.99623,0.0006842598,0.0095796372
5V-6core,CORE01,CORE03,12,8,0.9999998526,-0.999999634,1.58768e-05,0.000238152
5V-6core,CORE01,CORE04,12,9,0.9999998526,0.99999771,0.5222961869,1.0
5V-6core,CORE01,CORE05,12,7,0.9999998526,-0.999999886,0.0129792808,0.1687306504
5V-6core,CORE01,CORE06,12,3,0.9999998526,-0.999999738,0.1010989011,1.0
5V-6core,CORE02,CORE03,10,8,-0.99623,-0.999999634,0.236985237,1.0
5V-6core,CORE02,CORE04,10,9,-0.99623,0.99999771,0.0373364159,0.4107005749
5V-6core,CORE02,CORE05,10,7,-0.99623,-0.999999886,0.536199095,1.0
5V-6core,CORE02,CORE06,10,3,-0.99623,-0.999999738,0.6923076923,1.0
5V-6core,CORE03,CORE04,8,9,-0.999999634,0.99999771,0.015220074,0.182640888
5V-6core,CORE03,CORE05,8,7,-0.999999634,-0.999999886,0.9550893551,1.0
5V-6core,CORE03,CORE06,8,3,-0.999999634,-0.999999738,0.7757575758,1.0
5V-6core,CORE04,CORE05,9,7,0.99999771,-0.999999886,0.1141608392,1.0
5V-6core,CORE04,CORE06,9,3,0.99999771,-0.999999738,0.2818181818,1.0
5V-6core,CORE05,CORE06,7,3,-0.999999886,-0.999999738,0.5166666667,1.0
