core_id,ccA,ccB
CORE01,100.0,0.0
CORE02,20.0,80.0
CORE03,0.0,100.0
CORE04,77.7777777778,22.2222222222
CORE05,28.5714285714,71.4285714286
CORE06,33.3333333333,66.6666666667
