partition,reference,reference_subtype,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q,core_id,core_total_n,core_label_n,core_subtype_n,core_subtype_fraction,rest_label_n
5V-6core,mRNA,m1,13,0.3023255813953488,4.7695473251,1.3106382565,17.3568729384,0.021349072,0.4340699316,CORE01,17,13,9,0.6923076923076923,43
5V-6core,mRNA,m2,9,0.20930232558139536,1.2105263158,0.2964775164,4.9426141288,1.0,1.0,CORE01,17,13,3,0.23076923076923078,43
5V-6core,mRNA,m3,13,0.3023255813953488,0.2711111111,0.0443340137,1.6578971394,0.149288519,0.6173673552,CORE01,17,13,1,0.07692307692307693,43
5V-6core,mRNA,m4,8,0.18604651162790697,0.1546840959,0.0083404984,2.8687937337,0.1765260112,0.6173673552,CORE01,17,13,0,0.0,43
5V-6core,mRNA,m1,19,0.40425531914893614,0.7869822485,0.1899561379,3.2604424706,1.0,1.0,CORE02,14,9,3,0.3333333333333333,47
5V-6core,mRNA,m2,11,0.23404255319148937,0.5601023018,0.0873634649,3.5909128471,0.6661605019,0.9681471109,CORE02,14,9,1,0.1111111111111111,47
5V-6core,mRNA,m3,10,0.2127659574468085,2.9220779221,0.7052959833,12.1063207289,0.2057891184,0.6173673552,CORE02,14,9,4,0.4444444444444444,47
5V-6core,mRNA,m4,7,0.14893617021276595,0.9529411765,0.1421525087,6.3881875463,1.0,1.0,CORE02,14,9,1,0.1111111111111111,47
5V-6core,mRNA,m1,21,0.4666666666666667,0.1627906977,0.0267424014,0.9909660254,0.0361724943,0.4340699316,CORE03,14,11,1,0.09090909090909091,45
5V-6core,mRNA,m2,9,0.2,1.5820433437,0.3767145753,6.6439190439,0.6857708702,0.9681471109,CORE03,14,11,3,0.2727272727272727,45
5V-6core,mRNA,m3,10,0.2222222222222222,2.0285714286,0.5225012489,7.8757745551,0.4389664258,0.7850478363,CORE03,14,11,4,0.36363636363636365,45
5V-6core,mRNA,m4,5,0.1111111111111111,3.0320855615,0.6561300703,14.0117688059,0.1814768288,0.6173673552,CORE03,14,11,3,0.2727272727272727,45
5V-6core,mRNA,m1,18,0.3829787234042553,1.3046683047,0.3299420646,5.158964461,0.7266155228,0.9688206971,CORE04,10,9,4,0.4444444444444444,47
5V-6core,mRNA,m2,12,0.2553191489361702,0.1494736842,0.0080938879,2.760401731,0.1804426676,0.6173673552,CORE04,10,9,0,0.0,47
5V-6core,mRNA,m3,12,0.2553191489361702,0.9466666667,0.1969810922,4.5495624355,1.0,1.0,CORE04,10,9,2,0.2222222222222222,47
5V-6core,mRNA,m4,5,0.10638297872340426,4.1608391608,0.8621861482,20.0798662313,0.1080331581,0.6173673552,CORE04,10,9,3,0.3333333333333333,47
5V-6core,mRNA,m1,20,0.425531914893617,0.4471544715,0.0957264542,2.0887342282,0.4579445712,0.7850478363,CORE05,9,9,2,0.2222222222222222,47
5V-6core,mRNA,m2,9,0.19148936170212766,2.1821862348,0.4963493321,9.5939219728,0.3854318331,0.7708636662,CORE05,9,9,3,0.3333333333333333,47
5V-6core,mRNA,m3,11,0.23404255319148937,1.7090301003,0.3973999426,7.3497340348,0.6759453421,0.9681471109,CORE05,9,9,3,0.3333333333333333,47
5V-6core,mRNA,m4,7,0.14893617021276595,0.9529411765,0.1421525087,6.3881875463,1.0,1.0,CORE05,9,9,1,0.1111111111111111,47
5V-6core,mRNA,m1,19,0.37254901960784315,2.3333333333,0.418910535,12.9966758759,0.3710231069,0.7708636662,CORE06,5,5,3,0.6,51
5V-6core,mRNA,m2,10,0.19607843137254902,2.8231292517,0.4863851597,16.3863115742,0.2892275439,0.7590623213,CORE06,5,5,2,0.4,51
5V-6core,mRNA,m3,14,0.27450980392156865,0.2351097179,0.0122089882,4.5275315564,0.3162759672,0.7590623213,CORE06,5,5,0,0.0,51
5V-6core,mRNA,m4,8,0.1568627450980392,0.4652406417,0.0234669582,9.2235582112,1.0,1.0,CORE06,5,5,0,0.0,51
