core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06,CORE07,CORE08,CORE09,CORE10
CORE01,0.012035330234585206,0.013268594886595557,0.013121414083140453,0.011269550168610627,0.014398542995785767,0.01262081729867712,0.013990745605908647,0.009362736380189276,0.014779655149863907,0.012006668177138243
CORE02,0.013268594886595557,0.014730616481463414,0.014351423084707333,0.012363036666853854,0.02142725880124685,0.012308972214538014,0.014274783946832842,0.011403346707298447,0.01610871565070552,0.011121146388382087
CORE03,0.013121414083140453,0.014351423084707333,0.014553363509449701,0.02581169807542065,0.050419767622746664,0.012901053047213304,0.011461320598741389,0.014980866933382417,0.01611730101710774,0.011559619405417876
CORE04,0.011269550168610627,0.012363036666853854,0.025811698075420643,0.027278793173323504,0.08105992626482059,0.008874395429417441,0.011621588474665854,0.009536390400769907,0.014539151809971536,0.012619237205905581
CORE05,0.014398542995785767,0.02142725880124685,0.05041976762274667,0.0810599262648206,0.1385744104745548,0.012780502991352744,0.014098268708114647,0.018470839747708016,0.023575729491268085,0.014396773428370585
CORE06,0.012620817298677122,0.012308972214538014,0.012901053047213305,0.008874395429417441,0.01278050299135274,0.01102823636438394,0.01175148803110842,0.010074550801333126,0.012751168374315969,0.008433815135487523
CORE07,0.013990745605908645,0.014274783946832844,0.01146132059874139,0.011621588474665852,0.01409826870811465,0.011751488031108417,0.014682707013547744,0.008184234565694965,0.013965573161992553,0.011442735237218131
CORE08,0.009362736380189276,0.011403346707298447,0.014980866933382417,0.009536390400769909,0.018470839747708016,0.010074550801333125,0.008184234565694965,0.012894302477226638,0.012574405892823826,0.010312684002562592
CORE09,0.014779655149863907,0.016108715650705516,0.01611730101710774,0.014539151809971534,0.023575729491268082,0.012751168374315969,0.013965573161992553,0.012574405892823826,0.015384635969697988,0.01700451699851691
CORE10,0.012006668177138243,0.011121146388382085,0.01155961940541788,0.012619237205905581,0.014396773428370585,0.008433815135487525,0.011442735237218131,0.010312684002562592,0.01700451699851691,0.013300159190413807
