matrix,state,core_ids,within_core_mean,between_state_mean,within_minus_between
joint_coassignment,STATE_A,"[""CORE01"", ""CORE07"", ""CORE09""]",0.5964285714285713,0.11932944606413994,0.4770991253644314
joint_coassignment,STATE_B,"[""CORE02"", ""CORE04"", ""CORE10""]",0.465079365079365,0.13049989692846833,0.3345794681508967
joint_coassignment,STATE_C,"[""CORE05"", ""CORE06""]",0.6964285714285714,0.12353026437847865,0.5728983070500927
joint_coassignment,STATE_D,"[""CORE03"", ""CORE08""]",0.4071428571428571,0.11681972789115644,0.2903231292517007
fused,STATE_A,"[""CORE01"", ""CORE07"", ""CORE09""]",0.20897342805024652,0.12986418319035545,0.07910924485989107
fused,STATE_B,"[""CORE02"", ""CORE04"", ""CORE10""]",0.1519551994655262,0.13139419871470287,0.020561000750823316
fused,STATE_C,"[""CORE05"", ""CORE06""]",0.28070420430764137,0.12235724376503926,0.1583469605426021
fused,STATE_D,"[""CORE03"", ""CORE08""]",0.17784081004719218,0.11891295880207749,0.058927851245114696
ct,STATE_A,"[""CORE01"", ""CORE07"", ""CORE09""]",0.014245324639255036,0.013407320608915373,0.0008380040303396629
ct,STATE_B,"[""CORE02"", ""CORE04"", ""CORE10""]",0.012034473420380507,0.016714886109538713,-0.004680412689158206
ct,STATE_C,"[""CORE05"", ""CORE06""]",0.012780502991352744,0.02047271046200951,-0.007692207470656765
ct,STATE_D,"[""CORE03"", ""CORE08""]",0.014980866933382417,0.015353924089554723,-0.00037305715617230555
wsi,STATE_A,"[""CORE01"", ""CORE07"", ""CORE09""]",0.0940772860599836,0.0618996000588536,0.032177686001129996
wsi,STATE_B,"[""CORE02"", ""CORE04"", ""CORE10""]",0.04428691784016622,0.05411009561285794,-0.009823177772691719
wsi,STATE_C,"[""CORE05"", ""CORE06""]",0.04671396430186741,0.04709134274400158,-0.0003773784421341672
wsi,STATE_D,"[""CORE03"", ""CORE08""]",0.04092483899267828,0.05419256209974191,-0.013267723107063631
rna,STATE_A,"[""CORE01"", ""CORE07"", ""CORE09""]",0.06320017794395333,0.03412159451444589,0.02907858342950744
rna,STATE_B,"[""CORE02"", ""CORE04"", ""CORE10""]",0.03764938012977247,0.031269538380759784,0.006379841749012682
rna,STATE_C,"[""CORE05"", ""CORE06""]",0.04184618799511245,0.03932542142222936,0.002520766572883089
rna,STATE_D,"[""CORE03"", ""CORE08""]",0.06442682714088163,0.036302589111593876,0.028124238029287756
wxs,STATE_A,"[""CORE01"", ""CORE07"", ""CORE09""]",0.018013912956454322,0.008529885284342903,0.00948402767211142
wxs,STATE_B,"[""CORE02"", ""CORE04"", ""CORE10""]",0.011345909382545578,0.009503808351990096,0.0018421010305554823
wxs,STATE_C,"[""CORE05"", ""CORE06""]",0.43635698280388524,0.005128721007236417,0.4312282617966488
wxs,STATE_D,"[""CORE03"", ""CORE08""]",0.0059251171515849145,0.005421806894270093,0.0005033102573148212
