core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06,CORE07,CORE08,CORE09,CORE10
CORE01,0.19821844815818443,0.006737613905568173,0.0007185473308599149,0.015630656793522126,0.00839025539709482,0.004876854293352292,0.022237074069644903,0.005039480410948499,0.014872702942885202,0.011114423457770927
CORE02,0.006737613905568175,0.0551061689303891,0.0026515342124249553,0.014214546849678331,0.007221087757114649,0.006429671811723583,0.00897076508079832,0.00954836483420421,0.01232645866168034,0.0076758061088938396
CORE03,0.0007185473308599149,0.0026515342124249558,0.4442632784565964,0.0031802478634325618,0.0007072874497434169,0.0004000693900510625,0.002632636041427247,0.0059251171515849145,0.0019456637450791933,0.0030711682646339467
CORE04,0.015630656793522126,0.01421454684967833,0.003180247863432562,0.01464186195541911,0.007564436267600056,0.006401140449916082,0.011875686200602076,0.013160131001026172,0.01141680233427797,0.012147375189064561
CORE05,0.008390255397094818,0.007221087757114649,0.0007072874497434169,0.0075644362676000575,0.2953889290087427,0.43635698280388524,0.004107785921516355,0.0051603562076999185,0.007164035251447978,0.00752299468247402
CORE06,0.004876854293352292,0.006429671811723583,0.0004000693900510624,0.006401140449916082,0.43635698280388524,0.5775939453073536,0.0025060781549379268,0.0038770799672651693,0.0057106433697319894,0.00401975974411337
CORE07,0.022237074069644903,0.00897076508079832,0.0026326360414272473,0.011875686200602076,0.004107785921516355,0.0025060781549379268,0.01150029591900569,0.011282753122733588,0.016931961856832854,0.015743261144652753
CORE08,0.005039480410948498,0.009548364834204211,0.005925117151584914,0.013160131001026174,0.0051603562076999185,0.003877079967265169,0.011282753122733588,0.013312756226650693,0.009658504947867184,0.013715085518924459
CORE09,0.014872702942885202,0.01232645866168034,0.001945663745079193,0.01141680233427797,0.007164035251447978,0.0057106433697319894,0.016931961856832854,0.009658504947867184,0.009714701588212521,0.021278685405331274
CORE10,0.011114423457770929,0.00767580610889384,0.0030711682646339476,0.012147375189064556,0.00752299468247402,0.004019759744113371,0.015743261144652753,0.013715085518924459,0.021278685405331278,0.014732468169451975
