matrix,core_a,core_b,mean_similarity
fused,CORE08,CORE10,0.1414904655946398
fused,CORE09,CORE10,0.25937106418150413
ct,CORE01,CORE02,0.013268594886595557
ct,CORE01,CORE03,0.013121414083140453
ct,CORE01,CORE04,0.011269550168610627
ct,CORE01,CORE05,0.014398542995785767
ct,CORE01,CORE06,0.01262081729867712
ct,CORE01,CORE07,0.013990745605908647
ct,CORE01,CORE08,0.009362736380189276
ct,CORE01,CORE09,0.014779655149863907
ct,CORE01,CORE10,0.012006668177138243
ct,CORE02,CORE03,0.014351423084707333
ct,CORE02,CORE04,0.012363036666853854
ct,CORE02,CORE05,0.02142725880124685
ct,CORE02,CORE06,0.012308972214538014
ct,CORE02,CORE07,0.014274783946832842
ct,CORE02,CORE08,0.011403346707298447
ct,CORE02,CORE09,0.01610871565070552
ct,CORE02,CORE10,0.011121146388382087
ct,CORE03,CORE04,0.02581169807542065
ct,CORE03,CORE05,0.050419767622746664
ct,CORE03,CORE06,0.012901053047213304
ct,CORE03,CORE07,0.011461320598741389
ct,CORE03,CORE08,0.014980866933382417
ct,CORE03,CORE09,0.01611730101710774
ct,CORE03,CORE10,0.011559619405417876
ct,CORE04,CORE05,0.08105992626482059
ct,CORE04,CORE06,0.008874395429417441
ct,CORE04,CORE07,0.011621588474665854
ct,CORE04,CORE08,0.009536390400769907
ct,CORE04,CORE09,0.014539151809971536
ct,CORE04,CORE10,0.012619237205905581
ct,CORE05,CORE06,0.012780502991352744
ct,CORE05,CORE07,0.014098268708114647
ct,CORE05,CORE08,0.018470839747708016
ct,CORE05,CORE09,0.023575729491268085
ct,CORE05,CORE10,0.014396773428370585
ct,CORE06,CORE07,0.01175148803110842
ct,CORE06,CORE08,0.010074550801333126
ct,CORE06,CORE09,0.012751168374315969
ct,CORE06,CORE10,0.008433815135487523
ct,CORE07,CORE08,0.008184234565694965
ct,CORE07,CORE09,0.013965573161992553
ct,CORE07,CORE10,0.011442735237218131
ct,CORE08,CORE09,0.012574405892823826
ct,CORE08,CORE10,0.010312684002562592
ct,CORE09,CORE10,0.01700451699851691
wsi,CORE01,CORE02,0.03926504269263937
