core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06,CORE07,CORE08,CORE09,CORE10
CORE01,0.07406948187499991,0.01968200089762055,0.04245159169909259,0.018613184365312382,0.032905074375248325,0.05511029059948746,0.05118315228653508,0.03666305864137198,0.058103585566231686,0.03132609934965028
CORE02,0.01968200089762055,0.0816883406091754,0.033370608486399576,0.03284287698802007,0.038817655695298436,0.032000576679476145,0.030393203766755805,0.040367963755798965,0.02345671514066188,0.03954221656723273
CORE03,0.04245159169909259,0.033370608486399576,0.042603121459664786,0.03129058995325656,0.0394705971953318,0.045425227903142934,0.040442030634824065,0.06442682714088163,0.036724724620199066,0.0341122393402117
CORE04,0.018613184365312382,0.03284287698802007,0.03129058995325656,0.10080711098749072,0.04691895249962807,0.0207823908789362,0.021863011912925025,0.022884975197804084,0.010262922160933545,0.0405630468340646
CORE05,0.03290507437524834,0.038817655695298436,0.0394705971953318,0.04691895249962807,0.04531529807827582,0.04184618799511245,0.03077091424366114,0.03416805519571881,0.028325616728544334,0.04075357701513284
CORE06,0.05511029059948745,0.032000576679476145,0.04542522790314293,0.0207823908789362,0.04184618799511245,0.0420905136501051,0.04329169122389753,0.049341227513772616,0.05761899438196004,0.03350590062643312
CORE07,0.05118315228653508,0.030393203766755802,0.04044203063482406,0.021863011912925025,0.03077091424366114,0.04329169122389755,0.09011816714352096,0.030034237032572682,0.08031379597909323,0.04379152004039789
CORE08,0.03666305864137198,0.04036796375579896,0.06442682714088165,0.022884975197804087,0.03416805519571882,0.04934122751377262,0.030034237032572682,0.060914567456026705,0.03222734168546462,0.0318669569305399
CORE09,0.058103585566231686,0.023456715140661877,0.036724724620199066,0.010262922160933547,0.028325616728544334,0.05761899438196004,0.08031379597909323,0.03222734168546462,0.11410950613830148,0.050599261302782556
CORE10,0.03132609934965028,0.03954221656723273,0.034112239340211695,0.040563046834064594,0.04075357701513284,0.03350590062643312,0.04379152004039789,0.031866956930539904,0.050599261302782556,0.03156190983863104
