core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06,CORE07,CORE08,CORE09,CORE10
CORE01,0.16313015317969592,0.03926504269263937,0.06420944530029338,0.040143268958261306,0.03104067849299406,0.09961926329244124,0.10262422198746272,0.05037467506680293,0.05228148935043253,0.04873449587117527
CORE02,0.03926504269263937,0.04682497357772432,0.044202962639559945,0.040148685900527205,0.05226501424281834,0.03621525967912052,0.050552229507207294,0.04742938413478389,0.06715711250902982,0.05738087207719201
CORE03,0.06420944530029338,0.04420296263955995,0.036569591364498666,0.03498322390495956,0.036588011673882856,0.042742178092959666,0.08237976995775832,0.04092483899267828,0.06593760901046346,0.06615894338671952
CORE04,0.040143268958261306,0.040148685900527205,0.03498322390495956,0.060883487891127894,0.041301477164728005,0.03368617861079744,0.03376881346334117,0.04197086123057737,0.04584281685758661,0.035331195542779456
CORE05,0.031040678492994064,0.05226501424281834,0.03658801167388285,0.041301477164728,0.0355347897237322,0.04671396430186741,0.03447487929548764,0.035385987619933716,0.050073390355943846,0.053032222950745986
CORE06,0.09961926329244124,0.03621525967912052,0.04274217809295967,0.03368617861079744,0.0467139643018674,0.08706234079991938,0.04729851008406943,0.05239060623015274,0.052112458911725994,0.055235367206223705
CORE07,0.10262422198746272,0.0505522295072073,0.0823797699577583,0.03376881346334117,0.03447487929548764,0.04729851008406941,0.11983127503586266,0.08069113596095749,0.12732614684205548,0.1135307685578164
CORE08,0.05037467506680293,0.04742938413478389,0.040924838992678285,0.041970861230577354,0.035385987619933716,0.05239060623015276,0.08069113596095749,0.03792450286707966,0.06674243608703552,0.0548937632990302
CORE09,0.052281489350432545,0.06715711250902984,0.06593760901046346,0.045842816857586614,0.050073390355943846,0.05211245891172599,0.12732614684205548,0.06674243608703552,0.13115818261143092,0.1359428010028952
CORE10,0.04873449587117527,0.05738087207719201,0.06615894338671952,0.03533119554277946,0.053032222950746,0.055235367206223705,0.1135307685578164,0.0548937632990302,0.13594280100289524,0.08070813958254887
