k,pac,silhouette_fused,cdf_area,silhouette_consensus,mean_within_consensus,mean_between_consensus,consensus_gap,min_cluster_size,max_cluster_size,cluster_size_mean,cluster_size_std,delta_cdf_area,elbow_score,selected
2,0.9849609746811346,0.0003027096141041997,0.4800498106540185,0.3907201815261283,0.6445180330198107,0.3968593435967605,0.2476586894230502,48,55,51.5,3.5,,0.0,False
3,0.8994860079954312,0.0003406884588820292,0.6520834316270412,0.3805825787384924,0.5596939195261643,0.2358895075570724,0.32380441196909193,28,46,34.333333333333336,8.259674462242579,0.35836618858081526,0.2745957898722058,False
4,0.7220635827146392,0.00037401913949933283,0.736846399355813,0.38970706197336913,0.5230923424106413,0.1619045067313952,0.36118783567924606,13,39,25.75,9.98436277385793,0.12998791813691093,0.3253442723605307,True
5,0.5979440319817247,0.0003690903800237016,0.7906571970521967,0.3041742089372192,0.4405847972950123,0.12901313049222254,0.3115716668027898,4,35,20.6,11.77454882362802,0.07302851414274097,0.29670111903691043,False
6,0.5006662859318485,0.0004045413372887474,0.8265692917487781,0.31248620694775187,0.4736625818197703,0.11575222909693911,0.35791035272283117,14,21,17.166666666666668,2.266911751455907,0.0454205625781594,0.2221481859279134,False
7,0.422615648201028,0.00048198257006412676,0.8517213700128524,0.3199940559474629,0.4489705199346854,0.09508788726969003,0.35388263266499537,4,20,14.714285714285714,4.919764387920733,0.03042948548313459,0.11999604717206602,False
8,0.36702836474395584,0.0005442543343529428,0.8699166992227894,0.3339899408989275,0.4574433578513196,0.08192784255306847,0.37551551529825117,7,20,12.875,3.9823830805184977,0.0213630065542002,0.0,False
