left,right,spearman,pearson,mean_knn_jaccard,median_knn_jaccard
wxs,cnv,0.0010425404783279408,0.009541726960797773,0.053784637684063566,0.05263157894736842
wxs,genomic,0.4784483887569956,0.6718668454963346,0.5108526814394139,0.5384615384615384
cnv,genomic,0.49811540682474365,0.4101487819470182,0.23194640197706112,0.25
