view,core_id,partition,best_jaccard,best_overlap_coefficient,best_recall,best_precision,jaccard_retention,delta_jaccard
M4_original,CORE01,K2,0.46153846,1.0,1.0,0.46153846,0.9487179387037038,-0.02494803000000001
M4_original,CORE01,K3,0.51428571,1.0,1.0,0.51428571,1.0,0.0
M4_original,CORE01,K4,0.54545455,1.0,1.0,0.54545455,0.9696969777777777,-0.017045450000000018
M4_original,CORE01,K5,0.5625,1.0,1.0,0.5625,1.03124999140625,0.017045450000000018
M4_original,CORE01,K6,0.94736842,1.0,1.0,0.94736842,1.2180451079484427,0.16959064000000001
M4_original,CORE01,K7,0.85,0.94444444,0.94444444,0.89473684,1.0,0.0
M4_original,CORE01,K8,0.72727273,0.88888889,0.88888889,0.8,1.0,0.0
M4_original,CORE02,K2,0.21875,1.0,1.0,0.21875,1.0312500103125002,0.0066287899999999955
M4_original,CORE02,K3,0.33333333,0.92857143,0.92857143,0.34210526,1.0,0.0
M4_original,CORE02,K4,0.48275862,1.0,1.0,0.48275862,1.0,0.0
M4_original,CORE02,K5,0.66666667,1.0,1.0,0.66666667,1.0,0.0
M4_original,CORE02,K6,0.61904762,0.92857143,0.92857143,0.65,0.9285714253571429,-0.047619049999999996
M4_original,CORE02,K7,1.0,1.0,1.0,1.0,1.7000000119000003,0.41176471000000003
M4_original,CORE02,K8,0.86666667,0.92857143,0.92857143,0.92857143,1.0,0.0
M4_original,CORE03,K2,0.2195122,0.81818182,0.81818182,0.23076923,0.9512195365040651,-0.011257030000000001
M4_original,CORE03,K3,0.31428571,1.0,1.0,0.31428571,1.0,0.0
M4_original,CORE03,K4,0.33333333,1.0,1.0,0.33333333,0.9696969599999999,-0.010416670000000017
M4_original,CORE03,K5,0.34375,1.0,1.0,0.34375,1.0312500103125002,0.010416670000000017
M4_original,CORE03,K6,0.73333333,1.0,1.0,0.73333333,1.1333333343636363,0.08627450999999997
M4_original,CORE03,K7,0.91666667,1.0,1.0,0.91666667,1.0,0.0
M4_original,CORE03,K8,0.84615385,1.0,1.0,0.84615385,1.0,0.0
M4_original,CORE04,K2,0.171875,1.0,1.0,0.171875,1.0312499793750005,0.005208330000000011
M4_original,CORE04,K3,0.16666667,0.63636364,0.63636364,0.18421053,1.0,0.0
M4_original,CORE04,K4,0.17647059,0.54545455,0.54545455,0.20689655,1.0,0.0
M4_original,CORE04,K5,0.78571429,1.0,1.0,0.78571429,1.0,0.0
M4_original,CORE04,K6,0.91666667,1.0,1.0,0.91666667,1.1666666645454544,0.13095237999999998
M4_original,CORE04,K7,0.73333333,1.0,1.0,0.73333333,0.9533333280466667,-0.03589743999999995
M4_original,CORE04,K8,1.0,1.0,1.0,1.0,1.0,0.0
M4_original,CORE05,K2,0.078125,1.0,1.0,0.078125,1.0312499422500032,0.002367419999999995
M4_original,CORE05,K3,0.09375,0.6,0.6,0.1,1.0,0.0
M4_original,CORE05,K4,0.17241379,1.0,1.0,0.17241379,1.0,0.0
M4_original,CORE05,K5,0.23809524,1.0,1.0,0.23809524,1.0,0.0
M4_original,CORE05,K6,0.25,1.0,1.0,0.25,1.0499999916,0.011904759999999986
M4_original,CORE05,K7,0.55555556,1.0,1.0,0.55555556,1.4444444733333335,0.17094017999999994
M4_original,CORE05,K8,0.4,0.8,0.8,0.44444444,1.0,0.0
M4_recomputed,CORE01,K2,0.48648649,1.0,1.0,0.48648649,1.0,0.0
M4_recomputed,CORE01,K3,0.51428571,1.0,1.0,0.51428571,1.0,0.0
M4_recomputed,CORE01,K4,0.5625,1.0,1.0,0.5625,1.0,0.0
M4_recomputed,CORE01,K5,0.54545455,1.0,1.0,0.54545455,1.0,0.0
M4_recomputed,CORE01,K6,0.77777778,1.0,0.77777778,1.0,1.0,0.0
M4_recomputed,CORE01,K7,0.85,0.94444444,0.94444444,0.89473684,1.0,0.0
M4_recomputed,CORE01,K8,0.72727273,0.88888889,0.88888889,0.8,1.0,0.0
M4_recomputed,CORE02,K2,0.21212121,1.0,1.0,0.21212121,1.0,0.0
M4_recomputed,CORE02,K3,0.33333333,0.92857143,0.92857143,0.34210526,1.0,0.0
M4_recomputed,CORE02,K4,0.48275862,1.0,1.0,0.48275862,1.0,0.0
M4_recomputed,CORE02,K5,0.66666667,1.0,1.0,0.66666667,1.0,0.0
M4_recomputed,CORE02,K6,0.66666667,1.0,1.0,0.66666667,1.0,0.0
M4_recomputed,CORE02,K7,0.58823529,0.76923077,0.71428571,0.76923077,1.0,0.0
M4_recomputed,CORE02,K8,0.86666667,0.92857143,0.92857143,0.92857143,1.0,0.0
M4_recomputed,CORE03,K2,0.23076923,0.81818182,0.81818182,0.24324324,1.0,0.0
M4_recomputed,CORE03,K3,0.31428571,1.0,1.0,0.31428571,1.0,0.0
M4_recomputed,CORE03,K4,0.34375,1.0,1.0,0.34375,1.0,0.0
M4_recomputed,CORE03,K5,0.33333333,1.0,1.0,0.33333333,1.0,0.0
M4_recomputed,CORE03,K6,0.64705882,1.0,1.0,0.64705882,1.0,0.0
M4_recomputed,CORE03,K7,0.91666667,1.0,1.0,0.91666667,1.0,0.0
M4_recomputed,CORE03,K8,0.84615385,1.0,1.0,0.84615385,1.0,0.0
M4_recomputed,CORE04,K2,0.16666667,1.0,1.0,0.16666667,1.0,0.0
M4_recomputed,CORE04,K3,0.16666667,0.63636364,0.63636364,0.18421053,1.0,0.0
M4_recomputed,CORE04,K4,0.17647059,0.54545455,0.54545455,0.20689655,1.0,0.0
M4_recomputed,CORE04,K5,0.78571429,1.0,1.0,0.78571429,1.0,0.0
M4_recomputed,CORE04,K6,0.78571429,1.0,1.0,0.78571429,1.0,0.0
M4_recomputed,CORE04,K7,0.76923077,0.90909091,0.90909091,0.83333333,1.0,0.0
M4_recomputed,CORE04,K8,1.0,1.0,1.0,1.0,1.0,0.0
M4_recomputed,CORE05,K2,0.07575758,1.0,1.0,0.07575758,1.0,0.0
M4_recomputed,CORE05,K3,0.09375,0.6,0.6,0.1,1.0,0.0
M4_recomputed,CORE05,K4,0.17241379,1.0,1.0,0.17241379,1.0,0.0
M4_recomputed,CORE05,K5,0.23809524,1.0,1.0,0.23809524,1.0,0.0
M4_recomputed,CORE05,K6,0.23809524,1.0,1.0,0.23809524,1.0,0.0
M4_recomputed,CORE05,K7,0.38461538,1.0,1.0,0.38461538,1.0,0.0
M4_recomputed,CORE05,K8,0.4,0.8,0.8,0.44444444,1.0,0.0
M5_independent_wxs_cnv,CORE01,K2,0.48571429,0.94444444,0.94444444,0.5,0.9984127000114639,-0.0007722000000000007
M5_independent_wxs_cnv,CORE01,K3,0.56666667,0.94444444,0.94444444,0.5862069,1.1018518675154323,0.05238096000000003
M5_independent_wxs_cnv,CORE01,K4,0.77272727,0.94444444,0.94444444,0.80952381,1.3737373688888888,0.21022726999999997
M5_independent_wxs_cnv,CORE01,K5,0.76190476,0.88888889,0.88888889,0.84210526,1.3968253816931218,0.21645020999999998
M5_independent_wxs_cnv,CORE01,K6,0.57692308,0.83333333,0.83333333,0.65217391,0.7417582435949766,-0.20085469999999994
M5_independent_wxs_cnv,CORE01,K7,0.51851852,0.77777778,0.77777778,0.60869565,0.6100217882352941,-0.33148148
M5_independent_wxs_cnv,CORE01,K8,0.51851852,0.77777778,0.77777778,0.60869565,0.7129629623263888,-0.20875421000000005
M5_independent_wxs_cnv,CORE02,K2,0.15277778,0.78571429,0.78571429,0.15942029,0.7202381129166668,-0.05934343
M5_independent_wxs_cnv,CORE02,K3,0.18367347,0.64285714,0.64285714,0.20454545,0.5510204155102042,-0.14965985999999998
M5_independent_wxs_cnv,CORE02,K4,0.16666667,0.42857143,0.42857143,0.21428571,0.34523810263605437,-0.31609195
M5_independent_wxs_cnv,CORE02,K5,0.21212121,0.5,0.5,0.26923077,0.3181818134090909,-0.45454546
M5_independent_wxs_cnv,CORE02,K6,0.27272727,0.42857143,0.42857143,0.42857143,0.40909090295454553,-0.3939394
