variant,mean_ari_vs_M4,mean_cross_k_ari,mean_cross_k_nmi,spearman_with_wxs,spearman_with_cnv
M4_original,0.917409634921951,0.45587554078670844,0.55544760807807,0.11611444944055277,0.20408695906152544
M4_recomputed,1.0,0.44641475342787684,0.5554570805782876,0.11611444944055277,0.20408695906152544
M5_independent_wxs_cnv,0.23946238066308848,0.37681436798545165,0.4816317898519011,0.31265307640052153,0.39356672052581176
M_CNV,0.34694170243948347,0.3985338595700016,0.5028345550185145,0.019710325121706316,0.45384081076146515
M_WXS,0.17658447833700822,0.33467115258122915,0.4692338772411543,0.3546545722353393,0.1216281432867831
M_dupGenomic,0.5047751350530251,0.3633125954355884,0.466057041686873,0.18520305255776398,0.2460692790228969
