variant,core_a,core_b,within_core_a,within_core_b,between_core
M4_original,CORE01,CORE02,0.9533146591970122,0.9387755102040817,0.0
M4_original,CORE01,CORE03,0.9533146591970122,0.9532467532467532,0.5533910533910532
M4_original,CORE01,CORE04,0.9533146591970122,0.8389610389610388,0.0
M4_original,CORE01,CORE05,0.9533146591970122,0.8571428571428571,0.0
M4_original,CORE02,CORE03,0.9387755102040817,0.9532467532467532,0.036178107606679034
M4_original,CORE02,CORE04,0.9387755102040817,0.8389610389610388,0.30890538033395165
M4_original,CORE02,CORE05,0.9387755102040817,0.8571428571428571,0.6469387755102041
M4_original,CORE03,CORE04,0.9532467532467532,0.8389610389610388,0.02597402597402597
M4_original,CORE03,CORE05,0.9532467532467532,0.8571428571428571,0.025974025974025976
M4_original,CORE04,CORE05,0.8389610389610388,0.8571428571428571,0.28831168831168835
M4_recomputed,CORE01,CORE02,0.9010270774976655,0.8963893249607536,0.0
M4_recomputed,CORE01,CORE03,0.9010270774976655,0.9532467532467532,0.5851370851370851
M4_recomputed,CORE01,CORE04,0.9010270774976655,0.8129870129870129,0.0
M4_recomputed,CORE01,CORE05,0.9010270774976655,0.8571428571428571,0.0
M4_recomputed,CORE02,CORE03,0.8963893249607536,0.9532467532467532,0.025974025974025976
M4_recomputed,CORE02,CORE04,0.8963893249607536,0.8129870129870129,0.31818181818181807
M4_recomputed,CORE02,CORE05,0.8963893249607536,0.8571428571428571,0.6979591836734693
M4_recomputed,CORE03,CORE04,0.9532467532467532,0.8129870129870129,0.02597402597402597
M4_recomputed,CORE03,CORE05,0.9532467532467532,0.8571428571428571,0.025974025974025976
M4_recomputed,CORE04,CORE05,0.8129870129870129,0.8571428571428571,0.28831168831168835
M5_independent_wxs_cnv,CORE01,CORE02,0.7647058823529411,0.3328100470957614,0.11337868480725624
M5_independent_wxs_cnv,CORE01,CORE03,0.7647058823529411,0.35584415584415596,0.25180375180375175
M5_independent_wxs_cnv,CORE01,CORE04,0.7647058823529411,0.5454545454545455,0.015873015873015872
M5_independent_wxs_cnv,CORE01,CORE05,0.7647058823529411,0.35714285714285715,0.023809523809523805
M5_independent_wxs_cnv,CORE02,CORE03,0.3328100470957614,0.35584415584415596,0.20037105751391462
M5_independent_wxs_cnv,CORE02,CORE04,0.3328100470957614,0.5454545454545455,0.35528756957328383
M5_independent_wxs_cnv,CORE02,CORE05,0.3328100470957614,0.35714285714285715,0.3530612244897958
M5_independent_wxs_cnv,CORE03,CORE04,0.35584415584415596,0.5454545454545455,0.16883116883116878
M5_independent_wxs_cnv,CORE03,CORE05,0.35584415584415596,0.35714285714285715,0.2727272727272727
M5_independent_wxs_cnv,CORE04,CORE05,0.5454545454545455,0.35714285714285715,0.46233766233766227
M_CNV,CORE01,CORE02,0.9206349206349205,0.521193092621664,0.022108843537414966
M_CNV,CORE01,CORE03,0.9206349206349205,0.4623376623376623,0.15800865800865796
M_CNV,CORE01,CORE04,0.9206349206349205,0.36363636363636365,0.04906204906204906
M_CNV,CORE01,CORE05,0.9206349206349205,0.7714285714285715,0.0031746031746031746
M_CNV,CORE02,CORE03,0.521193092621664,0.4623376623376623,0.2346938775510204
M_CNV,CORE02,CORE04,0.521193092621664,0.36363636363636365,0.30797773654916505
M_CNV,CORE02,CORE05,0.521193092621664,0.7714285714285715,0.5326530612244896
M_CNV,CORE03,CORE04,0.4623376623376623,0.36363636363636365,0.2715466351829988
M_CNV,CORE03,CORE05,0.4623376623376623,0.7714285714285715,0.12987012987012986
M_CNV,CORE04,CORE05,0.36363636363636365,0.7714285714285715,0.32207792207792196
M_WXS,CORE01,CORE02,0.5107376283846872,0.29042386185243324,0.15702947845804988
M_WXS,CORE01,CORE03,0.5107376283846872,0.37662337662337664,0.19769119769119767
M_WXS,CORE01,CORE04,0.5107376283846872,0.5064935064935066,0.11976911976911976
M_WXS,CORE01,CORE05,0.5107376283846872,0.30000000000000004,0.0492063492063492
M_WXS,CORE02,CORE03,0.29042386185243324,0.37662337662337664,0.2282003710575139
M_WXS,CORE02,CORE04,0.29042386185243324,0.5064935064935066,0.30241187384044527
M_WXS,CORE02,CORE05,0.29042386185243324,0.30000000000000004,0.3408163265306122
M_WXS,CORE03,CORE04,0.37662337662337664,0.5064935064935066,0.16292798110979928
M_WXS,CORE03,CORE05,0.37662337662337664,0.30000000000000004,0.24155844155844153
M_WXS,CORE04,CORE05,0.5064935064935066,0.30000000000000004,0.39740259740259737
M_dupGenomic,CORE01,CORE02,0.8487394957983192,0.5682888540031398,0.06292517006802721
M_dupGenomic,CORE01,CORE03,0.8487394957983192,0.5090909090909093,0.32539682539682535
M_dupGenomic,CORE01,CORE04,0.8487394957983192,0.8233766233766235,0.022366522366522364
M_dupGenomic,CORE01,CORE05,0.8487394957983192,0.7142857142857142,0.017460317460317457
M_dupGenomic,CORE02,CORE03,0.5682888540031398,0.5090909090909093,0.18923933209647492
M_dupGenomic,CORE02,CORE04,0.5682888540031398,0.8233766233766235,0.4424860853432282
M_dupGenomic,CORE02,CORE05,0.5682888540031398,0.7142857142857142,0.5346938775510205
M_dupGenomic,CORE03,CORE04,0.5090909090909093,0.8233766233766235,0.1369539551357733
M_dupGenomic,CORE03,CORE05,0.5090909090909093,0.7142857142857142,0.12467532467532469
M_dupGenomic,CORE04,CORE05,0.8233766233766235,0.7142857142857142,0.4857142857142857
