variant,modality,spearman,pearson,mean_knn_jaccard,median_knn_jaccard
M4_original,ct,0.344734024928058,0.25391169993607454,0.19949058876438722,0.17647058823529413
M4_original,wsi,0.4399799228977065,0.5577942534072636,0.3495275860766258,0.3333333333333333
M4_original,rna,0.5025660148363902,0.5451801024291905,0.2605143953471225,0.25
M4_original,genomic,0.24085366280765746,0.23228743673289476,0.11634239797094105,0.1111111111111111
M4_original,wxs,0.11611444944055278,0.09338027923864847,0.08533338390713122,0.05263157894736842
M4_original,cnv,0.20408695906152544,0.1883908706446455,0.11797388006471535,0.1111111111111111
M4_recomputed,ct,0.344734024928058,0.25391169993607454,0.19949058876438722,0.17647058823529413
M4_recomputed,wsi,0.4399799228977065,0.5577942534072636,0.3495275860766258,0.3333333333333333
M4_recomputed,rna,0.5025660148363902,0.5451801024291905,0.2605143953471225,0.25
M4_recomputed,genomic,0.24085366280765746,0.23228743673289476,0.11634239797094105,0.1111111111111111
M4_recomputed,wxs,0.11611444944055278,0.09338027923864847,0.08533338390713122,0.05263157894736842
M4_recomputed,cnv,0.20408695906152544,0.1883908706446455,0.11797388006471535,0.1111111111111111
M5_independent_wxs_cnv,ct,0.2662965171121475,0.17755631090671878,0.14420393630769654,0.1111111111111111
M5_independent_wxs_cnv,wsi,0.33439114164955547,0.3949909934134076,0.2191401841451437,0.17647058823529413
M5_independent_wxs_cnv,rna,0.44488393337699195,0.49069810733204333,0.2382036891640426,0.25
M5_independent_wxs_cnv,genomic,0.5899144992552261,0.7175271554739223,0.36676518698070293,0.3333333333333333
M5_independent_wxs_cnv,wxs,0.31265307640052153,0.4379829608936542,0.25715286179983043,0.25
M5_independent_wxs_cnv,cnv,0.39356672052581176,0.40018523673659323,0.21343462112646633,0.17647058823529413
M_CNV,ct,0.3026246769883893,0.22087195725904302,0.17755790653984163,0.17647058823529413
M_CNV,wsi,0.39224466250881657,0.4769146075704979,0.27938433497662807,0.25
M_CNV,rna,0.4967122472650122,0.5547789264931114,0.25996702940704863,0.25
M_CNV,genomic,0.32224299511928683,0.3081789967974028,0.15176870113898577,0.1111111111111111
M_CNV,wxs,0.01971032512170632,0.018447007722945035,0.06097935682533955,0.05263157894736842
M_CNV,cnv,0.45384081076146515,0.4707060846827665,0.2700265767009582,0.25
M_WXS,ct,0.3017158061179609,0.1960684415722641,0.14879649041331086,0.1111111111111111
M_WXS,wsi,0.374300595743553,0.4392396716751543,0.24764082641536123,0.25
M_WXS,rna,0.4320504922716731,0.4522726583489891,0.2065397939635218,0.17647058823529413
M_WXS,genomic,0.3893308609630641,0.6011416763479902,0.34277378200399633,0.3333333333333333
M_WXS,wxs,0.35465457223533936,0.498963511255204,0.3187252129210108,0.3333333333333333
M_WXS,cnv,0.1216281432867831,0.10989241736108216,0.09100814572124198,0.05263157894736842
M_dupGenomic,ct,0.32274184716547416,0.23754464921237456,0.19361572463559296,0.17647058823529413
M_dupGenomic,wsi,0.41127582248320393,0.526311495084889,0.3188513805003631,0.3333333333333333
M_dupGenomic,rna,0.4903858451146726,0.5423100222624085,0.26290858072697015,0.25
M_dupGenomic,genomic,0.3462387509043399,0.3730455791089088,0.16958706494009632,0.17647058823529413
M_dupGenomic,wxs,0.18520305255776398,0.1782991948365083,0.12468433123547493,0.1111111111111111
M_dupGenomic,cnv,0.2460692790228969,0.24927244357261658,0.14779376761251778,0.1111111111111111
