variant,k_a,k_b,ari,nmi
M_CNV,2,7,0.18088820797331395,0.3020958498273826
M_CNV,2,8,0.19311313729701315,0.3083239414312752
M_CNV,3,4,0.4795323965036387,0.5548321473703508
M_CNV,3,5,0.49096256844932346,0.6065343133721051
M_CNV,3,6,0.3734128232154665,0.4958629703948926
M_CNV,3,7,0.3297380847279615,0.4701191895927328
M_CNV,3,8,0.26757299089490094,0.4158068186707066
M_CNV,4,5,0.752928769532372,0.7463024614489349
M_CNV,4,6,0.5165078688741952,0.6056104811720276
M_CNV,4,7,0.39256338977561545,0.535892363959923
M_CNV,4,8,0.3383386781605711,0.4893591649489637
M_CNV,5,6,0.5252093530631207,0.6344850815606644
M_CNV,5,7,0.40742645192326266,0.565544422232342
M_CNV,5,8,0.3894440208482066,0.546100355491011
M_CNV,6,7,0.6783459818529308,0.7476432200145698
M_CNV,6,8,0.4406212595240257,0.5804915647721801
M_CNV,7,8,0.6727384694888248,0.7689057423624076
M_WXS,2,3,0.299693072725462,0.35271225052662153
M_WXS,2,4,0.20910310316910197,0.25953171162273103
M_WXS,2,5,0.13610575195667549,0.24888471453691288
M_WXS,2,6,0.21290444093300423,0.3147812203218877
M_WXS,2,7,0.10141286476179215,0.23072715799065074
M_WXS,2,8,0.13167888938752514,0.2720249529671228
M_WXS,3,4,0.46342388903999504,0.5002491044506737
M_WXS,3,5,0.3067066520541019,0.44354446809011755
M_WXS,3,6,0.2110095811551378,0.3836421511102303
M_WXS,3,7,0.17919108793494878,0.3394402019586554
M_WXS,3,8,0.1898961571351395,0.375643058607524
M_WXS,4,5,0.5914601984019987,0.6319023702737109
M_WXS,4,6,0.35901869257087077,0.5485598492741629
M_WXS,4,7,0.3098743822924778,0.46573655492770144
M_WXS,4,8,0.2756620804341891,0.4641502207147774
M_WXS,5,6,0.42605311978064425,0.5952616711766046
M_WXS,5,7,0.41838675825016625,0.5651668156792152
M_WXS,5,8,0.3537060359167639,0.561240816630393
M_WXS,6,7,0.5325114451923247,0.7095743485203967
M_WXS,6,8,0.5456310399240917,0.7059634465957078
M_WXS,7,8,0.774664961189401,0.8851743360884408
M_dupGenomic,2,3,0.2500252390622496,0.30612323335692754
M_dupGenomic,2,4,0.32253275393565667,0.31073022215118307
M_dupGenomic,2,5,0.29130086819745926,0.3072093365500545
M_dupGenomic,2,6,0.19943072553164862,0.28185975779830424
M_dupGenomic,2,7,0.16666236957081312,0.29849870266090955
M_dupGenomic,2,8,0.14658151040836628,0.25988751646323605
M_dupGenomic,3,4,0.34844012785476064,0.4481777333180461
M_dupGenomic,3,5,0.335033833450802,0.44613948479341287
M_dupGenomic,3,6,0.23899327877043675,0.3889088061000224
M_dupGenomic,3,7,0.2309448689064359,0.36886313783331093
M_dupGenomic,3,8,0.19194129959352926,0.3221637269968404
M_dupGenomic,4,5,0.5535346337149349,0.6167481017922307
M_dupGenomic,4,6,0.4497187939706391,0.6079341704403459
M_dupGenomic,4,7,0.3015401204110948,0.4675944069395577
M_dupGenomic,4,8,0.3322936579535566,0.5280935366969784
M_dupGenomic,5,6,0.5290477734602257,0.6214783277794087
M_dupGenomic,5,7,0.3819853473687617,0.5136803630699337
M_dupGenomic,5,8,0.3666822125531461,0.49043142636671866
M_dupGenomic,6,7,0.6756773073379029,0.7551247189769614
M_dupGenomic,6,8,0.6010220859314551,0.6787256033259929
M_dupGenomic,7,8,0.716175696163483,0.7688255620139542
