variant,k_a,k_b,ari,nmi
M4_original,2,3,0.38821990379615184,0.3957493451145408
M4_original,2,4,0.3015962675711171,0.35501013571729906
M4_original,2,5,0.22871881498089913,0.32388589117557387
M4_original,2,6,0.15664849312353274,0.2727832923949108
M4_original,2,7,0.1411714215405909,0.2899404935808953
M4_original,2,8,0.14113323926297702,0.29163000924655136
M4_original,3,4,0.6093839213660011,0.6648159073996533
M4_original,3,5,0.5013240798443699,0.557159320019279
M4_original,3,6,0.3677947899081187,0.5011279909146122
M4_original,3,7,0.2851529751894724,0.4330297441933841
M4_original,3,8,0.3012663845211954,0.4352895787242199
M4_original,4,5,0.7635777541987823,0.7738483022971568
M4_original,4,6,0.6095835494773331,0.7076500403716275
M4_original,4,7,0.4551039788832061,0.6171905398340235
M4_original,4,8,0.46182825365271485,0.5958179581767344
M4_original,5,6,0.6854934426153709,0.7839427317274262
M4_original,5,7,0.5487652996128541,0.6829285900534403
M4_original,5,8,0.5602460392346793,0.6876939431284012
M4_original,6,7,0.6440356279439797,0.7377376404015497
M4_original,6,8,0.6336366005645565,0.7196433922522812
M4_original,7,8,0.7887055192329739,0.8375249229159076
M4_recomputed,2,3,0.413966143275014,0.4382812418015731
M4_recomputed,2,4,0.29126116879219427,0.3556836341849749
M4_recomputed,2,5,0.24354029754541026,0.3490100356428775
M4_recomputed,2,6,0.1699110986797802,0.329893733489533
M4_recomputed,2,7,0.14298560127482784,0.2998392041049845
M4_recomputed,2,8,0.14678309103086712,0.30344385638087495
M4_recomputed,3,4,0.584589232522083,0.6313759355310105
M4_recomputed,3,5,0.47996728315519377,0.5167026583299482
M4_recomputed,3,6,0.3028836007831759,0.45985591089105515
M4_recomputed,3,7,0.30020766394343656,0.4585446322151036
M4_recomputed,3,8,0.3012663845211954,0.4352895787242199
M4_recomputed,4,5,0.7444811796675344,0.7479307077085235
M4_recomputed,4,6,0.5726060513086858,0.7050482489298503
M4_recomputed,4,7,0.44859886896956747,0.5951642662067888
M4_recomputed,4,8,0.4461252147840679,0.5827387538312704
M4_recomputed,5,6,0.6196325226055841,0.7459817000105614
M4_recomputed,5,7,0.5241858424228385,0.6621170009275879
M4_recomputed,5,8,0.5527509562299976,0.6854497739352221
M4_recomputed,6,7,0.6768016708218076,0.7789014256110284
M4_recomputed,6,8,0.657736367621101,0.7684317551158714
M4_recomputed,7,8,0.7544295820310508,0.8149146385711796
M5_independent_wxs_cnv,2,3,0.45584850087931256,0.5328514103963528
M5_independent_wxs_cnv,2,4,0.20889272337022852,0.3337540739865405
M5_independent_wxs_cnv,2,5,0.14203324270927734,0.23240167383868016
M5_independent_wxs_cnv,2,6,0.12205108746270202,0.2106851650226979
M5_independent_wxs_cnv,2,7,0.12382962116162366,0.20633689131567537
M5_independent_wxs_cnv,2,8,0.09985045754503423,0.18685751603336626
M5_independent_wxs_cnv,3,4,0.4523646514406993,0.5429377238858234
M5_independent_wxs_cnv,3,5,0.3387681467051899,0.4733443731694528
M5_independent_wxs_cnv,3,6,0.30274145902754557,0.42187651054234293
M5_independent_wxs_cnv,3,7,0.23482115821112962,0.3534018990363508
M5_independent_wxs_cnv,3,8,0.2359342007382979,0.3761069885875485
M5_independent_wxs_cnv,4,5,0.5476060064280769,0.642114761022325
M5_independent_wxs_cnv,4,6,0.44549959404253725,0.5620856250370401
M5_independent_wxs_cnv,4,7,0.38786177470344013,0.5001532876652909
M5_independent_wxs_cnv,4,8,0.28450079867259376,0.4219983037516062
M5_independent_wxs_cnv,5,6,0.6081330138753588,0.7178642234527062
M5_independent_wxs_cnv,5,7,0.4029503128025082,0.529597124717166
M5_independent_wxs_cnv,5,8,0.443020084102251,0.5846879297042445
M5_independent_wxs_cnv,6,7,0.7166047893412957,0.7622086805032566
M5_independent_wxs_cnv,6,8,0.6498799354089434,0.7088964411241301
M5_independent_wxs_cnv,7,8,0.7099101690664379,0.8141069840973254
M_CNV,2,3,0.27971935381447166,0.26977665068081774
M_CNV,2,4,0.2526437280741689,0.3165244864881107
M_CNV,2,5,0.24698702019527966,0.33207849842939435
M_CNV,2,6,0.16051649678137003,0.2672359311680095
