variant,initial_k,cluster_count,cluster_sizes,labels
M_WXS,6,6,"[29, 24, 16, 13, 10, 11]","[0, 1, 1, 0, 2, 1, 0, 3, 0, 4, 4, 1, 4, 1, 2, 0, 0, 1, 0, 3, 3, 0, 1, 1, 5, 3, 5, 3, 1, 2, 2, 1, 2, 1, 3, 2, 0, 1, 1, 2, 1, 2, 4, 5, 5, 2, 3, 4, 5, 0, 5, 0, 5, 3, 3, 0, 4, 0, 0, 4, 4, 3, 0, 1, 5, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4, 0, 4, 5, 1, 0, 2, 2, 0, 5, 0, 0, 1, 0, 2, 0, 1, 0, 3, 1, 1, 2, 3, 5, 2, 3, 2, 1]"
M_WXS,7,7,"[21, 10, 24, 13, 12, 13, 10]","[0, 1, 2, 2, 3, 2, 0, 1, 0, 4, 4, 1, 4, 2, 3, 2, 0, 2, 2, 5, 5, 2, 2, 2, 6, 5, 6, 5, 2, 3, 3, 2, 3, 1, 5, 3, 2, 1, 1, 1, 2, 3, 4, 6, 6, 3, 5, 4, 6, 0, 6, 0, 0, 5, 5, 5, 4, 2, 2, 4, 4, 5, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 4, 0, 4, 6, 2, 2, 3, 3, 0, 6, 2, 0, 2, 0, 1, 0, 2, 2, 5, 1, 2, 3, 5, 6, 3, 5, 3, 0]"
M_WXS,8,8,"[19, 14, 11, 13, 9, 14, 13, 10]","[0, 1, 1, 2, 3, 1, 0, 4, 0, 0, 5, 4, 5, 1, 3, 2, 0, 1, 2, 6, 6, 2, 1, 1, 7, 6, 7, 6, 1, 3, 3, 1, 3, 4, 6, 3, 2, 4, 4, 4, 1, 3, 5, 7, 7, 3, 6, 5, 7, 5, 7, 0, 0, 6, 6, 6, 5, 2, 2, 5, 5, 6, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 5, 5, 4, 5, 5, 5, 7, 1, 2, 3, 3, 0, 7, 2, 0, 1, 0, 4, 0, 1, 2, 6, 4, 2, 3, 6, 7, 3, 6, 3, 5]"
M_dupGenomic,2,2,"[63, 40]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
M_dupGenomic,3,3,"[41, 22, 40]","[0, 0, 0, 1, 2, 2, 0, 2, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 1, 2, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 0, 1, 2, 2, 2, 0, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 1, 0, 2, 2, 0, 0, 0, 2]"
M_dupGenomic,4,4,"[48, 22, 23, 10]","[0, 0, 0, 1, 0, 0, 1, 2, 3, 0, 1, 2, 1, 0, 0, 3, 1, 2, 3, 0, 2, 0, 0, 2, 2, 2, 1, 0, 2, 0, 0, 2, 0, 0, 2, 0, 3, 2, 2, 2, 0, 0, 1, 2, 2, 0, 2, 1, 0, 1, 0, 0, 2, 3, 2, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 0, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 3, 2, 2, 3, 0, 0, 2, 0, 0, 0, 0]"
M_dupGenomic,5,5,"[39, 22, 5, 22, 15]","[0, 0, 0, 1, 2, 0, 1, 3, 4, 3, 1, 3, 0, 0, 0, 4, 1, 3, 4, 4, 3, 4, 4, 3, 3, 3, 1, 2, 3, 0, 0, 3, 0, 3, 3, 0, 4, 3, 0, 3, 0, 0, 1, 3, 3, 0, 0, 1, 4, 1, 2, 2, 3, 0, 3, 1, 1, 0, 4, 1, 1, 1, 0, 0, 2, 0, 0, 1, 4, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 4, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 4, 3, 3, 4, 0, 0, 3, 0, 4, 0, 3]"
M_dupGenomic,6,6,"[23, 22, 19, 12, 15, 12]","[0, 0, 0, 1, 2, 0, 1, 3, 1, 3, 1, 4, 0, 0, 2, 5, 1, 4, 5, 5, 3, 5, 0, 4, 4, 4, 1, 3, 4, 0, 2, 4, 2, 3, 4, 2, 5, 4, 0, 3, 0, 0, 1, 4, 3, 0, 3, 1, 5, 1, 3, 0, 4, 5, 3, 3, 1, 0, 5, 1, 1, 1, 0, 0, 2, 0, 2, 1, 5, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 5, 2, 2, 2, 2, 5, 1, 0, 2, 2, 2, 0, 5, 4, 4, 4, 2, 3, 4, 2, 2, 2, 0]"
M_dupGenomic,7,7,"[12, 14, 16, 22, 9, 16, 14]","[0, 1, 1, 2, 0, 0, 3, 4, 3, 3, 3, 5, 0, 1, 6, 2, 3, 5, 2, 2, 4, 2, 1, 5, 5, 5, 5, 4, 5, 1, 6, 5, 6, 4, 5, 6, 2, 5, 1, 0, 1, 1, 3, 5, 3, 0, 4, 3, 2, 3, 0, 0, 5, 2, 4, 4, 3, 2, 2, 3, 3, 3, 2, 1, 4, 0, 6, 3, 2, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 1, 2, 6, 6, 6, 0, 2, 3, 1, 6, 6, 6, 1, 2, 5, 5, 5, 6, 4, 5, 6, 6, 2, 0]"
M_dupGenomic,8,8,"[9, 14, 14, 19, 10, 6, 14, 17]","[0, 1, 1, 2, 0, 1, 3, 4, 5, 0, 3, 6, 0, 1, 7, 2, 3, 6, 2, 2, 4, 2, 1, 6, 6, 6, 6, 4, 6, 7, 7, 6, 7, 4, 6, 7, 2, 5, 5, 4, 1, 7, 3, 6, 3, 1, 4, 3, 2, 3, 4, 1, 6, 2, 4, 4, 3, 2, 2, 3, 3, 3, 2, 1, 0, 0, 7, 3, 5, 3, 3, 3, 1, 0, 0, 3, 3, 3, 5, 1, 2, 7, 7, 7, 7, 1, 3, 1, 7, 7, 7, 1, 2, 6, 6, 5, 7, 4, 6, 7, 7, 2, 0]"
