run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,1,2,103,3,38485
run1_K3,3,1,True,complete,review_complete,unavailable,1,1,35,3,50832
run1_K4,4,1,True,complete,review_complete,unavailable,1,2,62,3,68287
run1_K5,5,1,True,complete,review_complete,unavailable,1,1,14,3,89212
run1_K6,6,1,True,complete,review_complete,unavailable,1,1,12,4,219674
run1_K7,7,1,True,complete,review_complete,unavailable,1,1,19,3,133125
run1_K8,8,1,True,complete,review_complete,unavailable,1,2,31,3,152416
run2_K2,2,2,True,complete,review_complete,unavailable,1,2,103,3,39580
run2_K3,3,2,True,complete,review_complete,unavailable,1,2,73,3,51948
run2_K4,4,2,True,complete,review_complete,unavailable,1,2,62,3,71802
run2_K5,5,2,True,complete,review_complete,unavailable,1,1,14,3,93767
run2_K6,6,2,True,complete,review_complete,unavailable,1,1,12,3,116607
run2_K7,7,2,True,complete,review_complete,unavailable,1,1,19,3,139889
run2_K8,8,2,True,complete,review_complete,unavailable,1,2,31,3,162650
run3_K2,2,3,False,missing,missing,missing,,,,,
run3_K3,3,3,False,missing,missing,missing,,,,,
run3_K4,4,3,False,missing,missing,missing,,,,,
run3_K5,5,3,False,missing,missing,missing,,,,,
run3_K6,6,3,False,missing,missing,missing,,,,,
run3_K7,7,3,False,missing,missing,missing,,,,,
run3_K8,8,3,False,missing,missing,missing,,,,,
