excluded_k,valid_run_count,primary_core_count,primary_core_patient_count,mean_matched_jaccard,min_matched_jaccard,matched_core_mean_jaccard,extra_core_count,missing_core_count
2,18,9,86,0.791710758377425,0.0,0.8906746031746031,1,0
3,18,8,81,0.8906746031746031,0.7142857142857143,0.8906746031746031,0,0
4,18,7,87,0.7423519736842106,0.0,0.8484022556390978,0,1
5,18,10,96,0.7133928571428572,0.0,0.8917410714285714,2,0
6,18,8,86,0.9109775641025641,0.8,0.9109775641025641,0,0
7,18,7,86,0.6609848484848484,0.0,0.7554112554112553,0,1
8,18,6,85,0.6132034632034632,0.0,0.8176046176046176,0,2
