threshold,core_count,core_patient_count,core_sizes
0.5,8,89,"[15, 14, 14, 13, 12, 7, 7, 7]"
0.6666666666666666,8,84,"[14, 13, 13, 12, 12, 7, 7, 6]"
0.75,9,76,"[13, 12, 11, 10, 7, 7, 6, 5, 5]"
0.8,9,76,"[13, 12, 11, 10, 7, 7, 6, 5, 5]"
