k,pac,consensus_silhouette,mean_cluster_consensus,min_cluster_consensus,item_consensus_mean,item_consensus_p10,min_cluster_size,hierarchical_spectral_ari,hierarchical_kmedoids_ari,spectral_kmedoids_ari
2,0.9828669331810395,0.36712047878449094,0.6389907767048049,0.6186453890752353,0.6356328001057496,0.5312437666549307,43,0.6446764638497038,0.41675037587502795,0.5251867482517787
3,0.8937749857224443,0.3819935020132426,0.5903550380305603,0.5066015900568244,0.5741217705446288,0.4233366172235503,27,0.3467446616255291,0.36866271738871836,0.47541428309472994
4,0.7230154197601371,0.39360065612398554,0.5784141684117975,0.5020946291470281,0.5500906136454322,0.3814067531724301,13,0.5145741305294593,0.2830630408928002,0.39799908820007857
5,0.600418808300019,0.30103209731285946,0.5166079702436692,0.40597847720404856,0.47589293536530897,0.31578697375466885,4,0.38492641921369386,0.2722792851629757,0.3357440125272052
6,0.5048543689320388,0.31285646055551203,0.4899271041145033,0.41630763858183234,0.48159695207942205,0.32968334454553516,14,0.3676365130234392,0.27226560072367195,0.34220677527662846
7,0.4197601370645346,0.3187348842968592,0.5039499265581918,0.3529952524487807,0.4674452459941691,0.2954799916460691,4,0.43448724849692133,0.3977606018007955,0.5684106744578907
8,0.36778983438035406,0.3361143157830404,0.50280623822932,0.3688821962943413,0.47007081931877315,0.3043871940193388,4,0.4735622804732903,0.36503433410201036,0.4938319004941997
