case_id,chr1p,chr1q,chr2p,chr2q,chr3p,chr3q,chr4p,chr4q,chr5p,chr5q,chr6p,chr6q,chr7p,chr7q,chr8p,chr8q,chr9p,chr9q,chr10p,chr10q,chr11p,chr11q,chr12p,chr12q,chr13p,chr13q,chr14p,chr14q,chr15p,chr15q,chr16p,chr16q,chr17p,chr17q,chr18p,chr18q,chr19p,chr19q,chr20p,chr20q,chr21p,chr21q,chr22p,chr22q,locus::VHL,locus::SETD2,locus::PBRM1,locus::BAP1,locus::JAK2,locus::CDKN2A,locus::PTEN,fga,gain_burden,loss_burden
TCGA-B0-4712,0.005542056367294309,0.0795737277672021,0.0754,0.0754,-0.20210000000000003,0.3032435206993706,-0.1945,-0.1945,0.3383,0.3353397668153294,-0.19922029113931555,-0.19978842080553944,0.2986207127476143,0.29747785082597084,-0.453457316054469,0.0913,-0.183,-0.17980988295358874,-0.1959,-0.19590000000000002,0.074,0.06988350328704072,0.2864,0.2861194785443768,0.0,-0.19666049024673793,0.0,-0.18974277450235466,0.0,-0.22243293929732846,0.3152076816078786,0.3159,-0.1748,-0.1490760645120847,-0.1793,-0.17889023290984402,-0.04090825067674514,0.08708141246995268,0.2941303090813723,0.31495269294721356,0.0,-0.1832,0.0,-0.1723,-0.20210000000000003,-0.2021,-0.2021,-0.2021,-0.183,-0.18299999999999997,-0.1959,0.33803360024189366,0.26440388959400474,0.07362971064788891
TCGA-B0-4821,-0.11392411048475713,-0.1095,0.31072128455360104,0.07758122903383659,-0.4294348814854915,0.0422407953797774,-0.1189,-0.11923653343932361,0.5008162738853471,0.15014390902389096,0.008918847953746185,0.0062,0.0056,0.005600000000000001,-0.2662556973550037,0.013219148202549002,-0.25680457607605434,-0.2488,-0.0086,-0.0086,0.006998671254011206,0.014999999999999998,0.6460287722001657,0.4493872318901131,0.0,0.004195457337751841,0.0,0.0051,0.0,-0.10392703213765406,0.0157,0.0157,-0.0001,-0.0001,-0.1033,-0.10233327759205837,-0.1529,0.5156,-0.3414,0.6748,0.0,0.00963327587912649,0.0,0.018365275545978915,-0.4338,-0.4295,-0.4295,-0.4295,-0.2567,-0.5696,-0.0086,0.33541393004889297,0.19519725127774665,0.14021667877114635
TCGA-B0-5081,-0.028823446749910938,-0.015609229894554474,-0.025616307921805408,-0.02323782550131745,-0.07703645075784436,0.10244613513455592,-0.0300846168166291,-0.0410987333499901,0.015515267874959658,0.10234056056138709,-0.02093259083133813,-0.013238712516278719,0.07117126786251338,-0.002344526150640607,-0.04007131667428645,0.04672001289149101,-0.04660716486514317,-0.026650545590734615,0.013550926655015751,-0.059372881157106164,-0.0236,-0.02658702713549642,0.06137886339862462,0.08866538657355377,0.0,0.009127421172822904,0.0,-0.14731681381757253,0.0,0.06730699631003585,0.084507598601888,0.06987859943007386,-0.0186,-0.004529147793677674,0.04785373576541077,0.009119697050848379,-0.02452310610870551,0.01614861969919938,0.020928338437529826,-0.0010692846018784423,0.0,-0.010539538311590864,0.0,0.08171755034681247,-0.1494,-0.1695,-0.1695,-0.1695,-0.0593,-0.059300000000000005,-0.0429,0.0031400522358675897,0.002890778416502046,0.000249273819365544
TCGA-B0-5085,0.0006,-0.00019710466310513021,0.0033,0.0033,-0.3079745972906849,0.0082,3.4180081024883866e-05,-0.0033614137771107526,-0.0103,0.2140836628739837,0.00846107981018711,-0.002208511683333378,-0.01688765210539976,-0.0178,-0.00041346144193943346,-0.0016000000000000003,0.006899999999999999,0.0069,-0.0102,-0.0102,-0.0003,2.628237926006125e-05,-0.0071,-0.0071,0.0,-0.0013283829018809435,0.0,0.005708861667357457,0.0,0.0076774843642630946,0.0014,0.0014,0.0086,0.0086,0.0167,0.01742383014858412,0.0072,0.007502943278953313,0.0021,0.002313887314862748,0.0,0.007743176910189143,0.0,0.0125,-0.5472,-0.502,-0.5231,-0.5231,0.0069,0.0069,-0.0102,0.047088632361286915,0.028005693821197483,0.019082938540089432
TCGA-B0-5088,9.999999999999999e-05,0.0005026913593494153,-0.006199999999999999,0.1143968294245999,-0.34328381414816506,0.0123,-0.0013,-0.0027635787046400998,-0.0065,0.11210526746520597,0.015457400553888685,0.006495790246959006,-0.01796811899922397,-0.0185,0.021289630902459496,-0.0087,0.006125760755901259,0.0111,-0.0033817599293877736,-0.006148341790502159,0.0052,0.0052,-0.0071,-0.0071,0.0,-0.005999999999999999,0.0,0.010253139674449413,0.0,0.0034000000000000002,0.0211,0.0211,0.0060999999999999995,0.0026826650141641385,0.0198,0.0198,-0.0039,-0.0038999999999999994,0.012666716460544578,0.0042,0.0,0.010248799439086017,0.0,0.0118,-0.42919999999999997,-0.428,-0.428,-0.428,-0.0160153714803216,0.011099999999999999,-0.0072,0.07024177465521006,0.044071123388566606,0.026170651266643447
TCGA-B0-5106,-0.021182318857927228,-0.0214,-0.0217,-0.02089809926353948,-0.025400000000000002,-0.025400000000000002,-0.0198,-0.0198,0.2849,0.2849,-0.018659270475105943,-0.0209,-0.0308,-0.030800000000000004,-0.044252667623124825,-0.027926641468945038,-0.0227,-0.022700000000000005,-0.0299,-0.03150090133375796,-0.023799999999999998,-0.0238,-0.0238,-0.025588997092624403,0.0,-0.023507854894892412,0.0,-0.4478519138437084,0.0,-0.021937593420068884,0.2722,0.2722,-0.023257273195168682,-0.018100000000000005,-0.015199999999999998,-0.0152,-0.023074569587626072,-0.02462350141435457,0.2739788346892414,0.27535382134216757,0.0,0.28127269467316884,0.0,-0.0266,-0.0254,-0.0254,-0.0254,-0.0254,-0.0227,-0.0227,-0.0299,0.16375005564911718,0.132477493130339,0.0312725625187782
TCGA-B0-5115,-0.01720974256026166,0.29196730039174784,-0.014312039393265311,-0.0155,-0.45847145209905554,-0.028619780030510848,-0.023200000000000002,-0.0232,0.2889,0.2889,-0.024757157293423936,-0.027408755593924403,-0.0288,-0.0288,-0.0287,-0.0287,-0.0163,-0.0163,-0.0262,-0.0262,-0.0271,-0.027099999999999996,-0.024,-0.021558295289752522,0.0,-0.018,0.0,-0.023217371179127047,0.0,-0.0177572803307526,-0.009429962750183828,-0.0167,-0.009469580143986927,-0.006863199686259041,-0.0131,-0.0131,-0.0064,-0.0064,-0.0133,-0.0133,0.0,-0.0189,0.0,-0.0117,-0.4651,-0.45619999999999994,-0.4562,-0.4562,-0.0163,-0.0163,-0.0262,0.13705365786718077,0.10325670763844634,0.033796950228734426
TCGA-B0-5117,-0.4208796118027637,-0.4083837417513904,-0.4076850620514655,-0.4004844696527094,0.21529671710308979,0.21896439165848577,0.20648822318690643,0.20677023879063022,0.16793184928064508,0.21405249400127202,-0.4342661548618032,-0.44134256728238547,0.21317018595799858,0.20597580729984158,0.20184486545781016,0.2071908528777894,0.2049600909988801,0.2152897560086397,-0.4506,-0.4500941599892353,0.20139976893538805,0.2171885496555554,0.2149395357765929,0.21630169602913268,0.0,0.08176312349323707,0.0,0.21949257380547324,0.0,0.21298798476430508,0.21441712680915054,0.20176961736094262,-0.4310634484228037,-0.4059946415077385,0.22201872279034776,0.2087,0.2369817797130455,0.23005906651740324,0.4090642554276807,0.22559100445493965,0.0,-0.445659653543189,0.0,0.20673582353663567,0.2457,0.2641,0.2641,0.2641,0.2239,0.1896,-0.4192,0.7649056983564692,0.43662878857596765,0.32827690978050145
TCGA-B0-5696,-0.0192,-0.018881423139313666,-0.0184,-0.02186218381472611,-0.35021173658135774,0.08236195809626755,-0.018830687296075958,-0.0252,0.22354814194725545,0.4893247946888366,-0.0243,-0.02331478113322336,-0.006210576432566618,-0.0069,-0.314107077080318,-0.21474599964645602,-0.0169,-0.1929300596356582,-0.027199999999999995,-0.026719600722474614,-0.0194,-0.0194,0.19970450984433258,0.19921352282291888,0.0,-0.09554885347451363,0.0,-0.022055200221867348,0.0,-0.0168,0.17991514521731358,0.17408526259067056,-0.018,0.12583267875723061,-0.0464,-0.0464,-0.020246289609805942,-0.016899999999999995,-0.01,-0.01,0.0,0.10929676538510902,0.0,-0.009532666612059903,-0.4874,-0.4874,-0.4874,-0.48739999999999994,-0.0169,-0.0169,-0.0272,0.17262244148849978,0.09554681247724028,0.07707562901125949
TCGA-B0-5697,-0.001869624221595923,0.002428436404745697,0.12113542998665955,0.007503692025656202,-0.2944921619713166,0.002222994232014824,0.0008,0.0008533467551404256,-0.0004,0.12237000485121927,-0.0025,-0.0025000000000000005,-0.0053,-0.004601545650796106,-0.0015,-0.0015,-0.0029,-0.0029,-0.012188744941035485,-0.007200000000000001,-0.0032,-0.003716468914808672,0.25001950365619413,0.24901279042009192,0.0,0.0011647551068149089,0.0,-0.3267056558781864,0.0,-0.0028338642486380574,0.2484,0.2484,-0.0083,-0.0083,0.0111,0.0111,-0.0068,-0.0068,-0.0058,-0.005402065447848575,0.0,-0.3278,0.0,-0.0094,-0.3317,-0.3317,-0.3317,-0.3317,-0.0029,-0.0029,-0.0072,0.17463998464949618,0.10264784948395164,0.07199213516554452
TCGA-B0-5698,0.005285778353972938,0.0039,-0.0042,-0.006388100475565468,-0.5129041596787285,0.0014,-0.004688033052288767,-0.0055,-0.0051,0.21068047368953083,-0.0146,-0.012647760560473906,0.4242543061331284,0.4192039843308358,-0.0022,-0.0022,-0.0024,-0.0024,0.0006,0.0006,-0.0005,-0.0005,0.0,0.0,0.0,-0.0037,0.0,-0.167,0.0,0.0064,0.0067,0.0067,0.0030000000000000005,0.003,0.0054,0.0054,0.0011,0.0011,0.0008,0.0008,0.0,-0.0092,0.0,0.0097,-0.6382,-0.6382,-0.6382,-0.6382,-0.0024,-0.0024,0.0006,0.10786882034230347,0.08144968075265696,0.026419139589646506
TCGA-B0-5702,0.0146371735926342,0.01420034612430984,0.0973,0.0973,-0.1387299259730443,0.02898763406947788,0.011,0.011,0.10929999999999998,0.11011214955466156,-0.0127,-0.14665079646162307,0.02920689360881133,0.02969699113311502,-0.1848,0.012199999999999999,0.013099999999999999,0.0131,-0.031214144695872192,-0.031,0.0115,-0.10330778935234822,0.0112,0.0112,0.0,-0.0104,0.0,0.012309396482780932,0.0,0.0163,0.01860971010471972,-0.007989731129928145,-0.11690000000000002,0.004323781167783784,0.029056179454253466,-0.003649140380010716,0.0151,0.0151,0.014800000000000002,0.014106172438156856,0.0,0.0162,0.0,0.0175,-0.1553,-0.1553,-0.1553,-0.1553,0.0131,0.0131,-0.030999999999999996,1.2625223493968106e-05,2.004269711576332e-06,1.0620953782391774e-05
TCGA-B0-5703,-0.44146150197199885,-0.10662043552040693,0.0548,0.047766915254641065,-0.4989517301316786,-0.16456607796623632,0.06012031728161345,0.050105432543647646,0.05231116183935138,0.052353586137665005,0.0553805895867173,0.0564,0.44018743094366114,0.43314109609310386,0.05388633492253118,0.15665446417297002,0.052012370130652824,0.06104973633661357,0.046518120410826376,-0.43726134365990355,0.0567,0.05349538977438981,0.049874753128476536,0.0543394008434303,0.0,0.048272454223546486,0.0,0.05897508961023198,0.0,0.06465282613905597,0.0672,0.0672,0.0646,0.06553282231442162,0.064,0.06494586014542761,0.0682599480613439,0.0707,0.05551390405398555,0.07063360847771412,0.0,0.052545866861469157,0.0,0.07921300346459881,-0.502,-0.4871,-0.4943,-0.49429999999999996,0.064,0.049,-0.506,0.19848888815581725,0.06725083666321215,0.1312380514926051
TCGA-B0-5706,0.03470639561465829,0.1403022846572734,0.027,0.027,-0.3084342544416112,-0.11799788458606157,0.0298,0.0298,0.0251,0.02623227926391546,0.030044262170911454,0.032588473070753646,0.0245,0.0245,0.0278,0.0278,0.026899999999999997,0.027227445527065477,0.0193,-0.26267702698973644,0.0278,0.0278,0.0249,0.025531407102346228,0.0,0.029,0.0,0.0256,0.0,0.023925721639558917,0.0244,0.0244,0.0201,0.0201,0.042,0.042,0.0152,0.0152,0.020799999999999996,0.02112789492735057,0.0,0.0258,0.0,0.024333124484073695,-0.3082,-0.3082,-0.3082,-0.3082,0.0269,0.0269,-0.3216,0.10009585041688328,0.022189547615751346,0.07790630280113194
