partition,group_a,group_b,n_a,n_b,median_a,median_b,p_value,holm_p
5V-stable-cores,CORE01,CORE02,15,10,0.999999794,-0.9999999977,9.20533e-05,0.0005523198
5V-stable-cores,CORE01,CORE03,15,6,0.999999794,-0.999999636,0.0023588383,0.0117941915
5V-stable-cores,CORE01,CORE04,15,6,0.999999794,-0.99623,0.014300457,0.042901371
5V-stable-cores,CORE02,CORE03,10,6,-0.9999999977,-0.999999636,0.2634865135,0.4805194806
5V-stable-cores,CORE02,CORE04,10,6,-0.9999999977,-0.99623,0.0047452547,0.0189810188
5V-stable-cores,CORE03,CORE04,6,6,-0.999999636,-0.99623,0.2402597403,0.4805194806
