partition,reference,core_id,core_total_n,label_n,missing_n,coverage,dominant_reference_subtype,purity,normalized_entropy,m1_n,m2_n,m3_n,m4_n,evidence_status
5V-stable-cores,mRNA,CORE01,21,18,3,0.8571428571428571,m1,0.6111111111,0.6498683818,11,5,2,0,significant_known_enrichment
5V-stable-cores,mRNA,CORE02,14,12,2,0.8571428571428571,m2,0.4166666667,0.7416778775,0,5,5,2,no_fdr_supported_enrichment
5V-stable-cores,mRNA,CORE03,12,8,4,0.6666666666666666,m3,0.625,0.6493974703,1,0,5,2,no_fdr_supported_enrichment
5V-stable-cores,mRNA,CORE04,9,4,5,0.4444444444444444,m3,0.5,0.75,1,1,2,0,low_information
