threshold,core_count,core_patient_count,core_sizes
0.5,7,74,"[19, 16, 14, 10, 5, 5, 5]"
0.6666666666666666,6,63,"[17, 16, 11, 9, 5, 5]"
0.75,4,44,"[15, 11, 9, 9]"
0.8,4,44,"[15, 11, 9, 9]"
