run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,4,131889
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,5,208297
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,4,286688
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,4,385115
run1_K6,6,1,True,complete,review_complete,unavailable,2,6,103,5,496680
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,5,1196213
run1_K8,8,1,True,complete,review_complete,unavailable,2,5,70,4,743208
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,4,131424
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,5,211611
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,288001
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,5,397551
run2_K6,6,2,True,complete,review_complete,unavailable,2,6,103,4,490938
run2_K7,7,2,True,complete,review_complete,unavailable,2,6,99,4,609111
run2_K8,8,2,True,complete,review_complete,unavailable,2,5,70,4,739981
run3_K2,2,3,True,complete,review_complete,unavailable,3,2,103,8,271069
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,4,203479
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,287728
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,4,383034
run3_K6,6,3,True,complete,review_complete,unavailable,2,5,88,4,490437
run3_K7,7,3,True,complete,review_complete,unavailable,2,4,69,5,631508
run3_K8,8,3,True,complete,review_complete,unavailable,2,6,82,4,740063
