partition,reference,core_id,core_total_n,label_n,missing_n,coverage,dominant_reference_subtype,purity,normalized_entropy,ccA_n,ccB_n,evidence_status
5V-stable-cores,ClearCode34,CORE01,21,15,6,0.7142857142857143,ccA,0.8666666667,0.5665095066,13,2,significant_known_enrichment
5V-stable-cores,ClearCode34,CORE02,14,10,4,0.7142857142857143,ccB,1.0,-0.0,0,10,significant_known_enrichment
5V-stable-cores,ClearCode34,CORE03,12,6,6,0.5,ccB,1.0,-0.0,0,6,no_fdr_supported_enrichment
5V-stable-cores,ClearCode34,CORE04,9,6,3,0.6666666666666666,ccB,0.8333333333,0.6500224216,1,5,no_fdr_supported_enrichment
