core_id,ccA,ccB
CORE01,44.4444444444,0.0
CORE02,14.8148148148,27.5862068966
CORE03,0.0,27.5862068966
CORE04,25.9259259259,6.8965517241
CORE05,7.4074074074,17.2413793103
CORE06,3.7037037037,13.7931034483
CORE07,3.7037037037,6.8965517241
