partition,group_a,group_b,n_a,n_b,median_a,median_b,p_value,holm_p
5V-7state,CORE01,CORE02,12,12,0.9999998526,-0.944935,0.0009009356,0.018018712
5V-7state,CORE01,CORE03,12,8,0.9999998526,-0.999999634,1.58768e-05,0.0003334128
5V-7state,CORE01,CORE04,12,9,0.9999998526,0.99999771,0.5222961869,1.0
5V-7state,CORE01,CORE05,12,7,0.9999998526,-0.999999886,0.0129792808,0.2336270544
5V-7state,CORE01,CORE06,12,5,0.9999998526,-0.999999228,0.0012928248,0.0245636712
5V-7state,CORE01,CORE07,12,3,0.9999998526,-0.999999738,0.1010989011,1.0
5V-7state,CORE02,CORE03,12,8,-0.944935,-0.999999634,0.057378741,0.860681115
5V-7state,CORE02,CORE04,12,9,-0.944935,0.99999771,0.0699543586,0.9793610204
5V-7state,CORE02,CORE05,12,7,-0.944935,-0.999999886,0.1955624355,1.0
5V-7state,CORE02,CORE06,12,5,-0.944935,-0.999999228,0.234324499,1.0
5V-7state,CORE02,CORE07,12,3,-0.944935,-0.999999738,1.0,1.0
5V-7state,CORE03,CORE04,8,9,-0.999999634,0.99999771,0.015220074,0.258741258
5V-7state,CORE03,CORE05,8,7,-0.999999634,-0.999999886,0.9550893551,1.0
5V-7state,CORE03,CORE06,8,5,-0.999999634,-0.999999228,0.8329448329,1.0
5V-7state,CORE03,CORE07,8,3,-0.999999634,-0.999999738,0.7757575758,1.0
5V-7state,CORE04,CORE05,9,7,0.99999771,-0.999999886,0.1141608392,1.0
5V-7state,CORE04,CORE06,9,5,0.99999771,-0.999999228,0.041958042,0.671328672
5V-7state,CORE04,CORE07,9,3,0.99999771,-0.999999738,0.2818181818,1.0
5V-7state,CORE05,CORE06,7,5,-0.999999886,-0.999999228,0.7550505051,1.0
5V-7state,CORE05,CORE07,7,3,-0.999999886,-0.999999738,0.5166666667,1.0
5V-7state,CORE06,CORE07,5,3,-0.999999228,-0.999999738,0.7857142857,1.0
