partition,reference,core_id,core_total_n,label_n,missing_n,coverage,dominant_reference_subtype,purity,normalized_entropy,m1_n,m2_n,m3_n,m4_n,evidence_status
5V-7state,mRNA,CORE01,17,13,4,0.7647058823529411,m1,0.6923076923,0.5700578393,9,3,1,0,no_fdr_supported_enrichment
5V-7state,mRNA,CORE02,15,10,5,0.6666666666666666,m1,0.5,0.8427376486,5,1,3,1,no_fdr_supported_enrichment
5V-7state,mRNA,CORE03,14,11,3,0.7857142857142857,m3,0.3636363636,0.9338169455,1,3,4,3,no_fdr_supported_enrichment
5V-7state,mRNA,CORE04,10,9,1,0.9,m1,0.4444444444,0.7652465284,4,0,2,3,no_fdr_supported_enrichment
5V-7state,mRNA,CORE05,9,9,0,1.0,m2,0.3333333333,0.945530556,2,3,3,1,no_fdr_supported_enrichment
5V-7state,mRNA,CORE06,7,6,1,0.8571428571428571,m3,0.5,0.8962406252,1,1,3,1,no_fdr_supported_enrichment
5V-7state,mRNA,CORE07,5,5,0,1.0,m1,0.6,0.4854752972,3,2,0,0,no_fdr_supported_enrichment
