core_id,m1,m2,m3,m4,missing_n,total_n,coverage
CORE01,11,5,2,0,3,21,0.8571428571428571
CORE02,0,5,5,2,2,14,0.8571428571428571
CORE03,1,0,5,2,4,12,0.6666666666666666
CORE04,1,1,2,0,5,9,0.4444444444444444
