core_id,ccA,ccB,missing_n,total_n,coverage
CORE01,13,2,6,21,0.7142857142857143
CORE02,0,10,4,14,0.7142857142857143
CORE03,0,6,6,12,0.5
CORE04,1,5,3,9,0.6666666666666666
