core_id,m1,m2,m3,m4
CORE01,36.0,23.0769230769,6.25,0.0
CORE02,20.0,7.6923076923,18.75,11.1111111111
CORE03,4.0,23.0769230769,25.0,33.3333333333
CORE04,16.0,0.0,12.5,33.3333333333
CORE05,8.0,23.0769230769,18.75,11.1111111111
CORE06,4.0,7.6923076923,18.75,11.1111111111
CORE07,12.0,15.3846153846,0.0,0.0
