canonical_core,variant_core,canonical_size,variant_size,intersection,canonical_retention,variant_purity,jaccard
CORE01,CORE01,21,22,16,0.7619047619047619,0.7272727272727273,0.5925925925925926
CORE02,CORE02,14,20,11,0.7857142857142857,0.55,0.4782608695652174
CORE03,,12,0,0,0.0,0.0,0.0
CORE04,,9,0,0,0.0,0.0,0.0
