feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
adipose_tissue,4,86,26;28;17;15,estimable,,2.379874733188558,0.49739192939730537,0.6217399117466317,0.0
blank_space,4,86,26;28;17;15,estimable,,4.872502884319431,0.18137473787260194,0.40278954919539894,0.022835401028285744
clear_cell_renal_cell_carcinoma,4,86,26;28;17;15,estimable,,1.0550107674924334,0.787944228321295,0.787944228321295,0.0
cyst_content,4,86,26;28;17;15,estimable,,1.8920350102905559,0.5951146924032267,0.6612385471146963,0.0
fibrocollagenous_tissue,4,86,26;28;17;15,estimable,,3.348777112473499,0.3409112733287149,0.48701610475530704,0.0042533794204085255
hemorrhage,4,86,26;28;17;15,estimable,,3.6786841835617565,0.29831603592430694,0.48701610475530704,0.00827663638489947
inflammation,4,86,26;28;17;15,estimable,,6.412104016241017,0.09319410807232659,0.3106470269077553,0.04161102458830508
marker,4,86,26;28;17;15,estimable,,6.867273492581262,0.07625071802257435,0.3106470269077553,0.0471618718607471
necrosis,4,86,26;28;17;15,estimable,,6.6365229232770275,0.08443110681076765,0.3106470269077553,0.04434784052776863
renal_parenchyma,4,86,26;28;17;15,estimable,,4.6251547044084305,0.20139477459769947,0.40278954919539894,0.01981895980985891
