state_id,n,age_median,age_q1,age_q3,os_events,gender_male,gender_female,stage_group_I,stage_group_III,stage_group_IV,stage_group_II,t_stage_T1a,t_stage_T3a,t_stage_T1b,t_stage_T2,t_stage_T1,m_stage_M0,m_stage_M1,grade_G3,grade_G2,grade_G4,advanced_stage_fraction,m_known_n,m1_fraction_among_known,m_stage_missing_or_mx_fraction,high_grade_fraction,t_stage_T3b,t_stage_T2b,t_stage_T4,m_stage_MX,t_stage_T2a
STATE_A,26,55.5,51.0,66.25,3,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.19230769230769232,0.11538461538461539,0.07692307692307693,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.11538461538461539,0.038461538461538464,0.8846153846153846,0.11538461538461539,0.5,0.4230769230769231,0.07692307692307693,0.3076923076923077,26,0.11538461538461539,0.0,0.5769230769230769,,,,,
STATE_B,28,60.0,52.75,68.25,13,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.25,0.32142857142857145,0.14285714285714285,0.07142857142857142,0.32142857142857145,0.2857142857142857,0.17857142857142858,,0.6071428571428571,0.2857142857142857,0.5,0.21428571428571427,0.2857142857142857,0.5714285714285714,25,0.32,0.10714285714285714,0.7857142857142857,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,
STATE_C,17,54.0,45.0,65.0,1,0.5882352941176471,0.4117647058823529,0.6470588235294118,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.35294117647058826,0.058823529411764705,,0.8235294117647058,0.058823529411764705,0.35294117647058826,0.5294117647058824,0.11764705882352941,0.29411764705882354,15,0.06666666666666667,0.11764705882352941,0.47058823529411764,0.11764705882352941,,,0.11764705882352941,
STATE_D,15,59.0,52.0,62.5,1,0.8,0.2,0.7333333333333333,0.2,,0.06666666666666667,0.6,0.13333333333333333,0.2,,,1.0,,0.5333333333333333,0.4666666666666667,,0.2,15,0.0,0.0,0.5333333333333333,,,,,0.06666666666666667
