state_id,feature,n,mean,median,q1,q3
STATE_A,adipose_tissue,26,6.571381126735603e-05,2.8637665708943175e-05,5.139974920372945e-07,0.00010400081578499829
STATE_A,blank_space,26,1.7401925172593041e-12,9.409977493986546e-14,1.1528701537675971e-14,1.5703469959135145e-12
STATE_A,clear_cell_renal_cell_carcinoma,26,0.9835224868346379,0.9865308575554583,0.9747704639993297,0.9913587156392966
STATE_A,cyst_content,26,6.870455521892504e-06,1.219280252905883e-07,1.0932135614160424e-08,4.54944268106303e-06
STATE_A,fibrocollagenous_tissue,26,0.004183243937149978,0.003159707643873941,0.0022984449138706386,0.004781132919470279
STATE_A,hemorrhage,26,0.0016601011689933325,0.0005301955256304352,0.00033614694761859726,0.0014257656234380753
STATE_A,inflammation,26,0.0025307984158181706,0.0008684592937949396,0.00013564744563249266,0.0014852326789782356
STATE_A,marker,26,1.1880776720931696e-05,4.269930342749116e-06,1.7542336248706904e-06,9.639408411324884e-06
STATE_A,necrosis,26,0.00019065280701138207,3.9168996642819436e-05,8.73128877578054e-06,0.00022767406339006777
STATE_A,renal_parenchyma,26,0.007828253192482863,0.005310084133682039,0.002080413228978564,0.011545119792359419
STATE_B,adipose_tissue,28,0.0002475648623620353,3.058489371156507e-06,5.732177811214265e-07,3.275392806282512e-05
STATE_B,blank_space,28,4.6277391209254825e-12,4.9947919156395135e-15,8.582955861143073e-17,5.687636644515881e-13
STATE_B,clear_cell_renal_cell_carcinoma,28,0.9849318005697797,0.9879243493250996,0.9818355903876398,0.9926548337184743
STATE_B,cyst_content,28,6.946471151683731e-06,7.358770011878335e-07,3.225662948376381e-08,1.2354293373773942e-05
STATE_B,fibrocollagenous_tissue,28,0.0029305834039134245,0.002384465798431758,0.0018281227347047657,0.00322404819082142
STATE_B,hemorrhage,28,0.0021961089703835513,0.0012253961314557357,0.0002792079890436938,0.002922644260142152
STATE_B,inflammation,28,0.0038985731414062476,0.002591049982280697,0.0007965751127628729,0.004559270532225953
STATE_B,marker,28,1.2064450438805335e-05,1.193867193971263e-06,2.699646412823757e-07,7.053384966122862e-06
STATE_B,necrosis,28,0.0007612616993587717,0.00017400340728931555,4.3406762077799965e-05,0.0007928301759738275
STATE_B,renal_parenchyma,28,0.005015098240583058,0.0027334363529838155,0.0008583998097797675,0.006506023095115981
STATE_C,adipose_tissue,17,9.472094705800565e-05,8.789616005856886e-06,5.35625719564569e-08,9.760472301952757e-05
STATE_C,blank_space,17,4.150825321618683e-13,3.5204697374813335e-14,6.329353835123049e-18,1.988919594968754e-13
STATE_C,clear_cell_renal_cell_carcinoma,17,0.9831557761356949,0.9827663492763975,0.9743003367327383,0.9897389397196767
STATE_C,cyst_content,17,4.2790335995483527e-05,1.3140268461857905e-07,2.3646353386730654e-10,1.1281705420257756e-06
STATE_C,fibrocollagenous_tissue,17,0.003617181770961543,0.0023252841879618626,0.0013980779325207886,0.00422529711245531
STATE_C,hemorrhage,17,0.004216981753200966,0.0011739202220311456,0.000590444602648402,0.00560974452357028
STATE_C,inflammation,17,0.0027644297068811505,0.0006862739169462914,6.631330023061824e-05,0.004156117347999579
STATE_C,marker,17,1.937806621920819e-05,1.0158931238293581e-06,1.4494732919434817e-07,3.1678909890725873e-06
STATE_C,necrosis,17,0.0008599416680079022,0.00021454077462665678,6.027628884612654e-05,0.0010932159482523406
STATE_C,renal_parenchyma,17,0.005228801625379001,0.000954870893225893,0.00025576478443511345,0.009663099699064237
STATE_D,adipose_tissue,15,0.0002212098466053779,9.41094135266277e-06,1.5640113639706394e-06,8.29446049433484e-05
STATE_D,blank_space,15,1.5880418442804916e-12,2.2918333067686035e-14,4.996150093427551e-16,1.0606056883748933e-12
STATE_D,clear_cell_renal_cell_carcinoma,15,0.981583752475535,0.9857952777154512,0.9767428899975785,0.9915174236612695
STATE_D,cyst_content,15,1.6606504926092758e-05,1.7588503185741474e-08,7.300668914737992e-10,2.925341311214579e-06
STATE_D,fibrocollagenous_tissue,15,0.003735474517070946,0.0034523605224453815,0.001761879163508131,0.005110599827626905
STATE_D,hemorrhage,15,0.003312323847926976,0.0017475615525380233,0.0006176907882196168,0.003995733054943098
STATE_D,inflammation,15,0.002906570622666846,0.0007207140990713984,0.00024658683019175315,0.0033865475325184965
STATE_D,marker,15,2.661987488255513e-05,2.5002790744216603e-06,8.643124598438347e-07,2.1840759206500274e-05
STATE_D,necrosis,15,0.0002394907713365071,8.608773299782554e-05,4.082017507657172e-06,0.00036807041948044985
STATE_D,renal_parenchyma,15,0.007957953257696876,0.0027984416891080367,0.0006929247648523921,0.007812180826334956
STATE_A,within_state_wsi_affinity_mean,26,0.538793893285516,0.5338277985437776,0.3494566032148212,0.7428733398105685
STATE_B,within_state_wsi_affinity_mean,28,0.22432061393794317,0.22314445588378484,0.17603712528682242,0.2787981844095107
STATE_C,within_state_wsi_affinity_mean,17,0.18366609524134597,0.19436727606418958,0.1346606584085545,0.2300908005933025
STATE_D,within_state_wsi_affinity_mean,15,0.24437150285562872,0.2749236769413557,0.17326952837301798,0.3164599241513073
