state_id,feature,n,mean,median,q1,q3,global_q_value
STATE_A,original_shape_SurfaceVolumeRatio,26,-0.12331399747722832,-0.16873104669983555,-0.46252258095353393,0.13739412112922036,0.0444421964738445
STATE_A,original_glrlm_LowGrayLevelRunEmphasis,26,-0.08151953457736014,-0.027281589955578944,-0.21353744331200156,0.09233569743376643,0.0444421964738445
STATE_A,log-sigma-2-0-mm-3D_glrlm_RunEntropy,26,0.17727711058203527,0.18554149658414826,-0.08211235616243234,0.5226737024799529,0.0444421964738445
STATE_A,log-sigma-3-0-mm-3D_glrlm_RunEntropy,26,0.1260929589112893,0.11455969856793523,-0.46691905329676975,0.633087884325589,0.0444421964738445
STATE_B,original_shape_SurfaceVolumeRatio,28,-0.37589886779263487,-0.29315658999063465,-0.7537062075834096,0.07862526400800339,0.0444421964738445
STATE_B,original_glrlm_LowGrayLevelRunEmphasis,28,-0.20590594257724018,-0.06846834439969754,-0.28098591776817644,0.07011129375946008,0.0444421964738445
STATE_B,log-sigma-2-0-mm-3D_glrlm_RunEntropy,28,0.3924268034270279,0.38971605496959305,0.09987722414765422,0.7466964555030691,0.0444421964738445
STATE_B,log-sigma-3-0-mm-3D_glrlm_RunEntropy,28,0.47835334691977394,0.25530837162763453,0.022384319653389932,0.9141556558230498,0.0444421964738445
STATE_C,original_shape_SurfaceVolumeRatio,17,0.8621990954830223,0.31658667967195453,0.06697915528656884,0.5843853519668453,0.0444421964738445
STATE_C,original_glrlm_LowGrayLevelRunEmphasis,17,0.6971509812175797,0.15569343288802112,0.0701308351100497,0.3335899924921339,0.0444421964738445
STATE_C,log-sigma-2-0-mm-3D_glrlm_RunEntropy,17,-0.9462339594222333,-0.39625663878565076,-0.7738160131914457,-0.13491525375408786,0.0444421964738445
STATE_C,log-sigma-3-0-mm-3D_glrlm_RunEntropy,17,-0.8602482685381517,-0.3430383964196381,-0.9581228885409895,3.363622482874439e-14,0.0444421964738445
STATE_D,original_shape_SurfaceVolumeRatio,15,-0.12471617804182815,-1.7545119731246285e-14,-0.11765749527255562,0.08352963437207452,0.0444421964738445
STATE_D,original_glrlm_LowGrayLevelRunEmphasis,15,-0.2509602176494078,-0.010446421661379856,-0.278810315558208,0.023636544457817505,0.0444421964738445
STATE_D,log-sigma-2-0-mm-3D_glrlm_RunEntropy,15,0.1681254893378578,9.221746904819286e-15,-0.17630675237104182,0.2633817107948469,0.0444421964738445
STATE_D,log-sigma-3-0-mm-3D_glrlm_RunEntropy,15,0.0160192023779859,9.103746137756153e-15,-0.19137716559128476,0.17067001237220064,0.0444421964738445
