state_id,reference,reference_n,ccA,ccB,m1,m2,m3,m4
STATE_A,clearcode34,20,0.95,0.05,,,,
STATE_B,clearcode34,16,0.0625,0.9375,,,,
STATE_C,clearcode34,14,0.42857142857142855,0.5714285714285714,,,,
STATE_D,clearcode34,13,0.6153846153846154,0.38461538461538464,,,,
STATE_A,mrna_m1_m4,22,,,0.5909090909090909,0.22727272727272727,0.045454545454545456,0.13636363636363635
STATE_B,mrna_m1_m4,21,,,0.09523809523809523,0.3333333333333333,0.3333333333333333,0.23809523809523808
STATE_C,mrna_m1_m4,12,,,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
STATE_D,mrna_m1_m4,14,,,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.14285714285714285
